condition,p_acquire
LungCancer,0.00010256033848237447
ProstateCancer,0.00010095875554626469
AlcoholUseDisorder,0.00018872956186535703
RoadInjuries,0.0005429956423042008
ChronicLiverDisease,0.011799456473369909
Asthma,0.0023980745050010115
