condition,p_acquire_female,p_acquire_male,p_death
AcuteHepatitis,1.3037410522371611e-06,9.841262664858796e-06,0.0002367713591265
AlcoholUseDisorder,5.268663555638167e-06,0.0005438375497373,0.0007522144408859
AlzheimersDisease,1.697594444230829e-05,0.0001418603604184,0.0053327541745858
AnxietyDisorder,0.0002386033353663,5.854640110217e-05,0.0
Asthma,0.0004270062362052,2.664738014713731e-05,0.0025016590073367
BipolarDisorder,,,0.0
BreastCancer,4.090359212344497e-05,4.592758610685596e-06,0.0034463355006602
CardiovascularDiseases,0.0033229646050973,0.0020517882055194,0.0007621805664403
CervicalCancer,1.37256409339173e-06,,0.0761657932901705
ChromosomalAbnormalities,,,0.0061653357557154
ChronicKidneyDisease,0.0042639142798643,0.0041596384706142,0.002567865407487
ChronicLiverDisease,0.0045780622202802,0.0123627621789912,4.930897193503907e-05
ChronicPain,,,0.0
ColorectalCancer,1.9380301364936046e-06,2.567716968481994e-06,0.1623945536589673
CongenitalHeartAnomalies,,,0.0648383305536058
CongenitalMusculoskeletal,,,0.005889394479943
COPD,0.000489887047829,0.0010442750035238,0.0009777158936282
COVID19,9.029739551501173e-06,3.3024118199397245e-05,0.002603527556803
Dementia,,,
DiarrhealDiseases,6.56119920627327e-06,2.630748183349621e-06,6.557972419018634e-05
DigestiveCongenitalAnomalies,,,0.1348214641902159
DownSyndrome,,,0.0272178135335064
DrugUseDisorder,7.143893309171973e-06,2.2963761074169333e-06,0.0022687251395688
EsophagealCancer,,,0.4428368740550545
Influenza,,,
HPV,,,
Hyperlipidemia,,,0.0
Hypertension,0.0250292956977637,0.0175197228186513,0.0
InterpersonalViolence,0.0001756813182409,0.0001371101769331,0.0013868712335367
LowerRespiratoryInfections,1.6619215642118226e-06,1.2727302633768624e-06,0.1475461702230139
LungCancer,8.17445208000553e-06,7.538045954647017e-06,0.5522890602872067
MajorDepressiveDisorder,0.0032245179719372,0.0025399478306197,
MaternalConditions,7.921651182961893e-05,,0.0270149250614044
NeonatalEncephalopathy,,,1.0
NeonatalJaundice,,,0.0899336942490585
NeonatalPretermBirth,,,0.0817768280351796
NeonatalSepsis,,,0.0275746588086581
NeuralTubeDefects,,,0.5106033701311852
Obesity,,,0.0
ParkinsonsDisease,8.17445208000553e-06,7.538045954647017e-06,0.0443768906666565
ProstateCancer,,8.283568101089368e-06,0.1492334511739859
ProteinEnergyMalnutrition,,,0.0260624539275172
PTSD,,,
RoadInjuries,0.0001363479704239,0.0005967709969413,0.0027701794949144
SelfHarm,1.02089843673225e-06,4.792797596896981e-06,0.0155465887137697
TobaccoUse,,,0.0
Tuberculosis,0.0001696371555089,1.271130711172386e-05,0.0065735927346436
Type1Diabetes,4.578428405401524e-06,1.7745359903298075e-06,0.049242852429629
Type2Diabetes,0.0021829493874064,0.0020799723347963,0.0005738546446544
