population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Prevalence,New York,Both,75-79 years,Drug use disorders,Percent,1990,0.0022561282906051,0.0027459794581295,0.0018720448365064
All Population,Prevalence,New York,Both,80+ years,Drug use disorders,Percent,1990,0.0018470533950785,0.0022826376951054,0.0015185938342717
All Population,Prevalence,New York,Both,<5 years,Depressive disorders,Percent,1990,6.0588262355e-06,1.15837894918e-05,2.153827041e-06
All Population,Prevalence,New York,Both,5-9 years,Depressive disorders,Percent,1990,0.0066916413667609,0.0105355182297934,0.0039677306842103
All Population,Prevalence,New York,Both,10-14 years,Depressive disorders,Percent,1990,0.030059408770964,0.0389048111927734,0.0214376804142674
All Population,Prevalence,New York,Both,15-19 years,Depressive disorders,Percent,1990,0.0446348798621967,0.0583727339080061,0.0350957039070985
All Population,Prevalence,New York,Both,20-24 years,Depressive disorders,Percent,1990,0.0467292668290688,0.0598723736792323,0.0380732798460198
All Population,Prevalence,New York,Both,25-29 years,Depressive disorders,Percent,1990,0.048039495510858,0.0596804514618795,0.0390950366921447
All Population,Prevalence,New York,Both,30-34 years,Depressive disorders,Percent,1990,0.0488677351784572,0.0597148901381099,0.0402816303501826
All Population,Prevalence,New York,Both,35-39 years,Depressive disorders,Percent,1990,0.0489556495415298,0.0583702811354319,0.0402781535234021
All Population,Prevalence,New York,Both,40-44 years,Depressive disorders,Percent,1990,0.0488133828305721,0.0590171902782582,0.0395466207863742
All Population,Prevalence,New York,Both,45-49 years,Depressive disorders,Percent,1990,0.0473361743955412,0.0559215306889034,0.0380658649641907
All Population,Prevalence,New York,Both,50-54 years,Depressive disorders,Percent,1990,0.0444078370106579,0.0534103456259527,0.0358207826584666
All Population,Prevalence,New York,Both,55-59 years,Depressive disorders,Percent,1990,0.0412261453677214,0.0488823011327551,0.034571977775969
All Population,Prevalence,New York,Both,60-64 years,Depressive disorders,Percent,1990,0.0384695934195665,0.0458249030468448,0.0315926619132607
All Population,Prevalence,New York,Both,65-69 years,Depressive disorders,Percent,1990,0.0370536716665171,0.0435346595181899,0.0307264438251657
All Population,Prevalence,New York,Both,70-74 years,Depressive disorders,Percent,1990,0.0359315740150435,0.0422917865070141,0.0298844098707691
All Population,Prevalence,New York,Both,75-79 years,Depressive disorders,Percent,1990,0.035680004384225,0.0419847815587084,0.0299273633255626
All Population,Prevalence,New York,Both,80+ years,Depressive disorders,Percent,1990,0.035976572820897,0.0428185920458675,0.0299918971734525
All Population,Prevalence,New York,Both,<5 years,Anxiety disorders,Percent,1990,0.0008744653321475,0.0014395879472538,0.0003914489384669
All Population,Prevalence,New York,Both,5-9 years,Anxiety disorders,Percent,1990,0.0155856273298507,0.0222989026812388,0.0089471403526355
All Population,Prevalence,New York,Both,10-14 years,Anxiety disorders,Percent,1990,0.0282680416934915,0.0377043424328256,0.0212857047750218
All Population,Prevalence,New York,Both,15-19 years,Anxiety disorders,Percent,1990,0.0624988064626285,0.0812135074011219,0.049821530058654
All Population,Prevalence,New York,Both,20-24 years,Anxiety disorders,Percent,1990,0.0863735304106995,0.1021950563442729,0.0731468990978476
All Population,Prevalence,New York,Both,25-29 years,Anxiety disorders,Percent,1990,0.0905664673028125,0.1030466550369628,0.0794606147258283
All Population,Prevalence,New York,Both,30-34 years,Anxiety disorders,Percent,1990,0.0873708390029117,0.1011207344026679,0.0750274586645881
All Population,Prevalence,New York,Both,35-39 years,Anxiety disorders,Percent,1990,0.0839288515111411,0.1004705692478433,0.0735354547625387
All Population,Prevalence,New York,Both,40-44 years,Anxiety disorders,Percent,1990,0.081429565890652,0.0977458619651595,0.0690610242596264
All Population,Prevalence,New York,Both,45-49 years,Anxiety disorders,Percent,1990,0.079248002948148,0.0946377294908189,0.0640688870878677
All Population,Prevalence,New York,Both,50-54 years,Anxiety disorders,Percent,1990,0.0761881822055623,0.0931300336611546,0.063722420165861
All Population,Prevalence,New York,Both,55-59 years,Anxiety disorders,Percent,1990,0.0700432267592994,0.0818558349510058,0.0555977123725482
All Population,Prevalence,New York,Both,60-64 years,Anxiety disorders,Percent,1990,0.063650202438923,0.0772027346043,0.0528342780350465
