population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Prevalence,Eswatini,Male,<5 years,COVID-19,Percent,2020,0.0204788421824422,0.0315617317594479,0.0115235148886777
All Population,Prevalence,Eswatini,Female,<5 years,COVID-19,Percent,2020,0.0193883050424176,0.0299578622518839,0.0109893947997461
All Population,Prevalence,Eswatini,Male,5-9 years,COVID-19,Percent,2020,0.0346001086530326,0.053624154798129,0.0195441310621882
All Population,Prevalence,Eswatini,Female,5-9 years,COVID-19,Percent,2020,0.0319022783783542,0.0494485479498335,0.0181195471975673
All Population,Prevalence,Eswatini,Male,10-14 years,COVID-19,Percent,2020,0.0353017440283391,0.055410259813119,0.0200241314611955
All Population,Prevalence,Eswatini,Female,10-14 years,COVID-19,Percent,2020,0.0321623741625314,0.0500658713956805,0.0183122728798454
All Population,Prevalence,Eswatini,Male,15-19 years,COVID-19,Percent,2020,0.035795801404297,0.0558346652052631,0.0205267000517173
All Population,Prevalence,Eswatini,Female,15-19 years,COVID-19,Percent,2020,0.0347356400713006,0.0537505082217499,0.019761576461256
All Population,Prevalence,Eswatini,Male,20-24 years,COVID-19,Percent,2020,0.0438508052385063,0.0710165740061507,0.0248291695691536
All Population,Prevalence,Eswatini,Female,20-24 years,COVID-19,Percent,2020,0.0543319760389851,0.0908147698678661,0.0303852301174964
All Population,Prevalence,Eswatini,Male,25-29 years,COVID-19,Percent,2020,0.0456230360316588,0.0734611797287124,0.0255857358443795
All Population,Prevalence,Eswatini,Female,25-29 years,COVID-19,Percent,2020,0.0598453481661929,0.1000836820810389,0.0335761503114765
All Population,Prevalence,Eswatini,Male,30-34 years,COVID-19,Percent,2020,0.046097094284785,0.07254237921351,0.0258869139119597
All Population,Prevalence,Eswatini,Female,30-34 years,COVID-19,Percent,2020,0.0617199439200479,0.1026533370817413,0.0347816608826626
All Population,Prevalence,Eswatini,Male,35-39 years,COVID-19,Percent,2020,0.0469691273386095,0.0723874788211185,0.0266525766770253
All Population,Prevalence,Eswatini,Female,35-39 years,COVID-19,Percent,2020,0.0603066915110412,0.09893797385709,0.0341266578538816
All Population,Prevalence,Eswatini,Male,40-44 years,COVID-19,Percent,2020,0.0481156466821768,0.073616176900766,0.027275537686321
All Population,Prevalence,Eswatini,Female,40-44 years,COVID-19,Percent,2020,0.0569708488327782,0.0925709092618924,0.0321442267644627
All Population,Prevalence,Eswatini,Male,45-49 years,COVID-19,Percent,2020,0.0486411970140701,0.0743624678872254,0.0275792274962432
All Population,Prevalence,Eswatini,Female,45-49 years,COVID-19,Percent,2020,0.0540926792082867,0.0878751552242272,0.0305181273890276
All Population,Prevalence,Eswatini,Male,50-54 years,COVID-19,Percent,2020,0.0480423977081496,0.0733483244981798,0.0272278116295532
All Population,Prevalence,Eswatini,Female,50-54 years,COVID-19,Percent,2020,0.0541359046259553,0.0879014323036223,0.0305596051312496
All Population,Prevalence,Eswatini,Male,55-59 years,COVID-19,Percent,2020,0.0479943447863242,0.0727363181725085,0.0271753092990807
All Population,Prevalence,Eswatini,Female,55-59 years,COVID-19,Percent,2020,0.0572104347613976,0.0916239255336906,0.0323888295534456
All Population,Prevalence,Eswatini,Male,60-64 years,COVID-19,Percent,2020,0.0483581237315859,0.0726567437330096,0.0277489830018159
All Population,Prevalence,Eswatini,Female,60-64 years,COVID-19,Percent,2020,0.0616440767605493,0.0967238353052813,0.0347533838229806
All Population,Prevalence,Eswatini,Male,65-69 years,COVID-19,Percent,2020,0.0471379954579857,0.0711523028610156,0.0276213789963592
All Population,Prevalence,Eswatini,Female,65-69 years,COVID-19,Percent,2020,0.0638545935865908,0.0975127680234796,0.0364847937633871
All Population,Prevalence,Eswatini,Male,70-74 years,COVID-19,Percent,2020,0.048987487874337,0.0773399859581949,0.0287543308841927
All Population,Prevalence,Eswatini,Female,70-74 years,COVID-19,Percent,2020,0.0640465233369083,0.0987598674268619,0.0368669310356132
All Population,Prevalence,Eswatini,Male,75-79 years,COVID-19,Percent,2020,0.0522597787266765,0.0830703570979198,0.0301680092023951
All Population,Prevalence,Eswatini,Female,75-79 years,COVID-19,Percent,2020,0.0621554097977269,0.0987371117041742,0.0356158455974063
All Population,Prevalence,Eswatini,Male,80+ years,COVID-19,Percent,2020,0.0513671617820877,0.0823475398558424,0.0298370070251775
All Population,Prevalence,Eswatini,Female,80+ years,COVID-19,Percent,2020,0.0545697379754259,0.0887904061253785,0.0314933037506485
All Population,Prevalence,Eswatini,Male,<5 years,COVID-19,Percent,2021,0.0429041509183533,0.0578538929135268,0.0235279468530554
All Population,Prevalence,Eswatini,Female,<5 years,COVID-19,Percent,2021,0.0404678938318565,0.0539626464955384,0.0223012886010742
All Population,Prevalence,Eswatini,Male,5-9 years,COVID-19,Percent,2021,0.0717791134626637,0.095308815386618,0.0395337833615623
All Population,Prevalence,Eswatini,Female,5-9 years,COVID-19,Percent,2021,0.0662814638857888,0.0877463524457368,0.0365835751065929
All Population,Prevalence,Eswatini,Male,10-14 years,COVID-19,Percent,2021,0.0728097610221347,0.0966179177940141,0.0404462497394541
All Population,Prevalence,Eswatini,Female,10-14 years,COVID-19,Percent,2021,0.0662446080600098,0.0885965404639579,0.0366187176196961
All Population,Prevalence,Eswatini,Male,15-19 years,COVID-19,Percent,2021,0.0734872037522021,0.0965907189508987,0.0405898145766785
All Population,Prevalence,Eswatini,Female,15-19 years,COVID-19,Percent,2021,0.0712628142030926,0.0938573199742924,0.039260044311422
All Population,Prevalence,Eswatini,Male,20-24 years,COVID-19,Percent,2021,0.0897215338443347,0.127535849329772,0.0483484851017794
