Age,Year,AlzheimersDisease_male,AlzheimersDisease_female,BreastCancer_male,BreastCancer_female,COPD_male,COPD_female,COVID19_male,COVID19_female,CardiovascularDiseases_male,CardiovascularDiseases_female,CervicalCancer_male,CervicalCancer_female,ChronicLiverDisease_male,ChronicLiverDisease_female,DiarrhealDiseases_male,DiarrhealDiseases_female,HIV_male,HIV_female,InterpersonalViolence_male,InterpersonalViolence_female,LowerRespiratoryInfections_male,LowerRespiratoryInfections_female,MaternalConditions_male,MaternalConditions_female,NeonatalEncephalopathy_male,NeonatalEncephalopathy_female,RoadInjuries_male,RoadInjuries_female,SelfHarm_male,SelfHarm_female,Tuberculosis_male,Tuberculosis_female,Type2Diabetes_male,Type2Diabetes_female
0,2000,,,,,,,0.0,0.0,51.63709312607814,97.63480579299843,,,1.0790504032318744,1.0321266909870483,636.2209804609909,593.7773270665309,501.1687658637654,465.7039335962024,7.9338584751746914,8.892481072684278,6623.521111555962,6148.933668033258,,,100657.94193889126,100871.87801547741,231.5316267504458,291.7067775779964,,,47.57271084225318,44.52728260446781,,
0,2001,,,,,,,0.0,0.0,50.22858306888376,96.06189476794391,,,1.0090005480701765,0.9775652843500984,858.1600139787131,771.3061259874082,607.0834746411666,560.9037755776244,7.307267497548471,8.02687580789163,6678.76406310272,6099.8286385366455,,,98511.30030840458,99735.82597203314,224.67813684915134,279.32862020138924,,,50.51976711142192,44.666303956830454,,
0,2002,,,,,,,0.0,0.0,48.185768271034874,92.99253434442906,,,0.9426279975891289,0.9231629914874554,482.75451201804765,433.3638270462385,694.4304431970577,637.3783455718454,6.5828609449321105,7.138067092612715,6638.4109805965545,5978.874274157139,,,95629.12894337252,97701.45160666281,213.04934740520872,264.21946084901765,,,52.75212450265615,43.77389871235833,,
0,2003,,,,,,,0.0,0.0,46.89264700980128,91.62654510678922,,,0.8944078562556553,0.8908343669542734,492.586215384576,428.10534494318233,770.2587267910629,705.4657478267977,6.277943174660688,6.759562403841609,6583.169808609569,5882.31349048514,,,93620.97468431987,96580.84217224798,208.66875124255267,253.388183724815,,,55.01813333162502,43.015778888611464,,
0,2004,,,,,,,0.0,0.0,45.49097373142486,90.17460593773689,,,0.8530230402407276,0.863219922655624,477.1393283841727,402.8672760574861,818.7914501758864,747.0106901330761,6.106218110785532,6.7300676096157055,6513.25375129298,5812.522141179443,,,91654.23018992179,95364.9889190594,200.2595212259017,240.44895468736456,,,56.73833534323072,42.04804788173221,,
0,2005,,,,,,,0.0,0.0,44.13314518240178,89.26911832811913,,,0.8224245413479753,0.837554267292318,406.905206979792,332.55251261822224,803.0334111864996,732.4863827773653,6.344270597268028,7.136560699420677,6364.166600012691,5716.407861261176,,,89560.13625596043,94010.91706698861,194.0531140616031,230.97714571177312,,,60.08288583616119,43.02757759300875,,
0,2006,,,,,,,0.0,0.0,43.671012901290766,89.98096211024423,,,0.8474182962770879,0.8712741030218132,396.73376516395297,318.9928427873777,777.3276942631283,708.4629291871971,6.5596701438050875,7.589571337114426,6155.2275652730805,5624.973766411381,,,87717.91330479183,92881.80489838733,191.93624028615383,227.10848629909526,,,64.79007688570394,45.63481624618166,,
0,2007,,,,,,,0.0,0.0,42.81981454660105,89.27995267466123,,,0.90951470729794,0.9350991039606662,404.93419449185296,323.0466534149516,818.538211880133,738.5400473718616,6.878550771126928,8.031796492743682,5901.278255774486,5497.813375272078,,,86000.14346262703,91928.16487009442,186.8540833725747,222.0777437834878,,,66.85902819504263,46.67849802935324,,
0,2008,,,,,,,0.0,0.0,42.36538667129208,88.98258098044025,,,0.8948742460245629,0.9218115867157212,418.72620400776697,331.4685087662897,841.8314858121631,752.1042620735526,7.16884306574034,8.454420160199508,5682.5350537326385,5366.570579086458,,,84507.29139639139,91232.02412893123,183.23638084422345,218.55319737979733,,,69.78907992567046,48.386133281477555,,
0,2009,,,,,,,0.0,0.0,42.20728862448949,88.9557791669345,,,0.8825296295382515,0.9101882158063116,439.7723521615276,344.16191683713964,820.4221965697285,722.9177977576825,7.570511843176467,8.870881556854957,5415.365535912175,5245.536084895752,,,83286.97896920257,90700.2191183797,180.17106696013383,216.16670505611748,,,74.67518981267719,50.90998652859342,,
