Time,AgeGrp,ASFR
1957.0,23,307.39
1957.0,24,306.87
1957.0,25,302.79
1957.0,26,296.82
1957.0,27,289.75
1957.0,28,282.09
1957.0,29,275.07
1957.0,30,269.32
1957.0,31,263.0
1957.0,32,256.0
1957.0,33,246.23
1957.0,34,233.95
1957.0,35,221.15
1957.0,36,210.75
1957.0,37,199.2
1957.0,38,186.3
1957.0,39,173.27
1957.0,40,162.0
1957.0,41,142.94
1957.0,42,118.93
1957.0,43,94.57
1957.0,44,71.46
1957.0,45,48.63
1957.0,46,34.19
1957.0,47,23.45
1957.0,48,15.94
1957.0,49,9.7
1958.0,15,65.41
1958.0,16,104.15
1958.0,17,145.04
1958.0,18,185.87
1958.0,19,224.92
1958.0,20,260.97
1958.0,21,286.67
1958.0,22,301.64
1958.0,23,308.14
1958.0,24,307.55
1958.0,25,303.39
1958.0,26,297.34
1958.0,27,290.21
1958.0,28,282.52
1958.0,29,275.5
1958.0,30,269.77
1958.0,31,263.46
1958.0,32,256.47
1958.0,33,246.68
1958.0,34,234.37
1958.0,35,221.55
1958.0,36,211.12
1958.0,37,199.55
1958.0,38,186.62
1958.0,39,173.58
1958.0,40,162.31
1958.0,41,143.21
1958.0,42,119.15
1958.0,43,94.74
1958.0,44,71.56
1958.0,45,48.66
1958.0,46,34.2
1958.0,47,23.44
1958.0,48,15.92
1958.0,49,9.68
1959.0,15,66.0
1959.0,16,104.86
1959.0,17,145.76
1959.0,18,186.51
1959.0,19,225.57
1959.0,20,261.74
1959.0,21,287.55
1959.0,22,302.58
1959.0,23,309.07
1959.0,24,308.4
1959.0,25,304.15
1959.0,26,298.01
1959.0,27,290.81
1959.0,28,283.09
1959.0,29,276.05
1959.0,30,270.35
1959.0,31,264.05
1959.0,32,257.07
1959.0,33,247.26
1959.0,34,234.92
1959.0,35,222.05
1959.0,36,211.6
1959.0,37,200.0
1959.0,38,187.04
1959.0,39,173.97
1959.0,40,162.7
1959.0,41,143.56
1959.0,42,119.43
1959.0,43,94.95
1959.0,44,71.7
1959.0,45,48.71
1959.0,46,34.22
1959.0,47,23.45
1959.0,48,15.91
1959.0,49,9.67
1960.0,15,66.62
1960.0,16,105.62
1960.0,17,146.54
1960.0,18,187.21
1960.0,19,226.28
1960.0,20,262.6
1960.0,21,288.52
1960.0,22,303.61
1960.0,23,310.09
1960.0,24,309.35
1960.0,25,305.0
1960.0,26,298.77
1960.0,27,291.5
1960.0,28,283.73
1960.0,29,276.69
1960.0,30,271.0
1960.0,31,264.72
1960.0,32,257.74
1960.0,33,247.91
1960.0,34,235.53
1960.0,35,222.62
1960.0,36,212.14
1960.0,37,200.51
1960.0,38,187.52
1960.0,39,174.42
1960.0,40,163.14
1960.0,41,143.94
1960.0,42,119.75
1960.0,43,95.19
1960.0,44,71.87
1960.0,45,48.77
1960.0,46,34.25
1960.0,47,23.45
1960.0,48,15.9
1960.0,49,9.65
1961.0,15,67.25
1961.0,16,106.39
1961.0,17,147.34
1961.0,18,187.96
1961.0,19,227.05
1961.0,20,263.5
1961.0,21,289.52
1961.0,22,304.67
1961.0,23,311.14
1961.0,24,310.32
1961.0,25,305.87
1961.0,26,299.55
1961.0,27,292.21
1961.0,28,284.4
1961.0,29,277.34
1961.0,30,271.68
1961.0,31,265.41
1961.0,32,258.43
1961.0,33,248.58
1961.0,34,236.16
1961.0,35,223.2
1961.0,36,212.69
1961.0,37,201.03
1961.0,38,188.0
1961.0,39,174.87
1961.0,40,163.59
1961.0,41,144.35
1961.0,42,120.08
1961.0,43,95.44
1961.0,44,72.04
1961.0,45,48.83
1961.0,46,34.28
1961.0,47,23.46
1961.0,48,15.89
1961.0,49,9.64
1962.0,15,67.82
1962.0,16,107.13
1962.0,17,148.13
1962.0,18,188.73
1962.0,19,227.85
1962.0,20,264.41
1962.0,21,290.5
1962.0,22,305.68
1962.0,23,312.12
1962.0,24,311.22
1962.0,25,306.68
1962.0,26,300.28
1962.0,27,292.88
1962.0,28,285.03
1962.0,29,277.96
1962.0,30,272.32
1962.0,31,266.06
1962.0,32,259.08
1962.0,33,249.21
1962.0,34,236.74
1962.0,35,223.74
1962.0,36,213.2
1962.0,37,201.51
1962.0,38,188.46
1962.0,39,175.3
1962.0,40,164.01
1962.0,41,144.73
1962.0,42,120.39
1962.0,43,95.67
1962.0,44,72.19
1962.0,45,48.88
1962.0,46,34.31
1962.0,47,23.46
1962.0,48,15.87
1962.0,49,9.62
1963.0,15,68.23
1963.0,16,107.66
1963.0,17,148.72
1963.0,18,189.29
1963.0,19,228.41
1963.0,20,264.99
1963.0,21,291.08
1963.0,22,306.23
1963.0,23,312.62
1963.0,24,311.64
1963.0,25,307.02
1963.0,26,300.56
1963.0,27,293.12
1963.0,28,285.25
1963.0,29,278.18
1963.0,30,272.55
1963.0,31,266.31
1963.0,32,259.34
1963.0,33,249.46
1963.0,34,236.97
1963.0,35,223.94
1963.0,36,213.39
1963.0,37,201.69
1963.0,38,188.63
1963.0,39,175.48
1963.0,40,164.2
1963.0,41,144.89
1963.0,42,120.52
1963.0,43,95.76
1963.0,44,72.24
1963.0,45,48.86
1963.0,46,34.28
1963.0,47,23.42
1963.0,48,15.83
1963.0,49,9.59
1964.0,15,68.41
1964.0,16,107.82
1964.0,17,148.78
1964.0,18,189.18
1964.0,19,228.15
1964.0,20,264.62
1964.0,21,290.62
1964.0,22,305.69
1964.0,23,311.99
1964.0,24,310.93
1964.0,25,306.25
1964.0,26,299.75
1964.0,27,292.3
1964.0,28,284.44
1964.0,29,277.4
1964.0,30,271.81
1964.0,31,265.61
1964.0,32,258.67
1964.0,33,248.82
1964.0,34,236.35
1964.0,35,223.33
1964.0,36,212.82
1964.0,37,201.15
1964.0,38,188.13
1964.0,39,175.02
1964.0,40,163.79
1964.0,41,144.54
1964.0,42,120.22
1964.0,43,95.51
1964.0,44,72.02
1964.0,45,48.67
1964.0,46,34.12
1964.0,47,23.3
1964.0,48,15.73
1964.0,49,9.52
1965.0,15,68.71
1965.0,16,108.24
1965.0,17,149.28
1965.0,18,189.68
1965.0,19,228.63
1965.0,20,265.07
1965.0,21,291.01
