Age,Year,BipolarDisorder_male,BipolarDisorder_female,NeonatalEncephalopathy_male,NeonatalEncephalopathy_female,Obesity_male,Obesity_female,CongenitalMusculoskeletal_male,CongenitalMusculoskeletal_female,PTSD_male,PTSD_female,AlcoholUseDisorder_male,AlcoholUseDisorder_female,Hypertension_male,Hypertension_female,ChronicKidneyDisease_male,ChronicKidneyDisease_female,CongenitalHeartAnomalies_male,CongenitalHeartAnomalies_female,NeuralTubeDefects_male,NeuralTubeDefects_female,TobaccoUse_male,TobaccoUse_female,ColorectalCancer_male,ColorectalCancer_female,COPD_male,COPD_female,BreastCancer_male,BreastCancer_female,AlzheimersDisease_male,AlzheimersDisease_female,CardiovascularDiseases_male,CardiovascularDiseases_female,ParkinsonsDisease_male,ParkinsonsDisease_female,DownSyndrome_male,DownSyndrome_female,EsophagealCancer_male,EsophagealCancer_female,Dementia_male,Dementia_female,DrugUseDisorder_male,DrugUseDisorder_female,COVID19_male,COVID19_female,Tuberculosis_male,Tuberculosis_female,RoadInjuries_male,RoadInjuries_female,ChromosomalAbnormalities_male,ChromosomalAbnormalities_female,NeonatalJaundice_male,NeonatalJaundice_female,Type2Diabetes_male,Type2Diabetes_female,ProstateCancer_male,ProstateCancer_female,DiarrhealDiseases_male,DiarrhealDiseases_female,Type1Diabetes_male,Type1Diabetes_female,LowerRespiratoryInfections_male,LowerRespiratoryInfections_female,MaternalConditions_male,MaternalConditions_female,DigestiveCongenitalAnomalies_male,DigestiveCongenitalAnomalies_female,Hyperlipidemia_male,Hyperlipidemia_female,AnxietyDisorder_male,AnxietyDisorder_female,InterpersonalViolence_male,InterpersonalViolence_female,SelfHarm_male,SelfHarm_female,NeonatalPretermBirth_male,NeonatalPretermBirth_female,NeonatalSepsis_male,NeonatalSepsis_female,LungCancer_male,LungCancer_female,Flu_male,Flu_female,Asthma_male,Asthma_female,ChronicLiverDisease_male,ChronicLiverDisease_female,ProteinEnergyMalnutrition_male,ProteinEnergyMalnutrition_female,HPV_male,HPV_female,MajorDepressiveDisorder_male,MajorDepressiveDisorder_female,CervicalCancer_male,CervicalCancer_female,AcuteHepatitis_male,AcuteHepatitis_female
50,2007,0.007196504,0.007652738,0.000304406,0.000212351,,,0.001189316,0.001280244,,,0.06435009,0.009445599,0.447591163,0.575103971,0.148854003,0.151476648,0.001574149,0.002069995,4.65E-05,4.17E-05,,,0.000802338,0.000656565,0.041072982,0.031502062,0.000244778,0.007921078,0.002271462,0.002742504,0.113403159,0.108258184,0.000473066,0.000230421,2.39E-05,1.49E-05,0.001039655,0.000343319,,,0.007057672,0.006003424,0,0,0.435493927,0.406466661,0.090244231,0.027041104,6.21E-05,4.56E-05,0.000236,0.000344608,0.112935516,0.093416313,0.002426332,0,0.018033154,0.006937507,0.000239485,0.000239571,0.002102375,0.001427279,0,0.000936576,0.00013496,0.000217832,,,0.032302195,0.046308665,0.095826723,0.045256805,0.005845173,0.003893945,0.006595819,0.004389443,0.00082113,0.000668256,0.000313253,0.000109416,,,0.048703078,0.087271118,0.495844462,0.365673577,0.004400365,0.00301134,,,,,,0.012056534,0.003872346,0.001985633
55,2007,0.007075393,0.007493815,0.000294498,0.000202884,,,0.00114447,0.001236428,,,0.053934357,0.008678287,0.507877382,0.648521455,0.189621631,0.194414982,0.001537499,0.001988999,3.88E-05,3.54E-05,,,0.000777414,0.000555598,0.056281519,0.045608276,0.000276436,0.006836057,0.003845909,0.004832347,0.142580544,0.13292277,0.000738636,0.000389575,1.34E-05,8.02E-06,0.00126226,0.000342681,,,0.006682685,0.005135988,0,0,0.440655664,0.4105427,0.099884313,0.03086851,3.87E-05,2.81E-05,0.000160383,0.000269624,0.154957345,0.124060945,0.00394898,0,0.017425553,0.006480842,0.000235159,0.000235362,0.002595145,0.001706964,0,0.000355172,0.000125767,0.000204839,,,0.032428273,0.045806825,0.095032358,0.040933293,0.006466835,0.004364817,0.006571739,0.004347557,0.000798528,0.000639302,0.000387743,9.42E-05,,,0.052064767,0.091489764,0.524057057,0.390291814,0.004800108,0.003282967,,,,,,0.006448869,0.003451941,0.001803981
60,2007,0.006746329,0.007105929,0.000289664,0.000196253,,,0.001022069,0.001116387,,,0.043145139,0.007694712,0.560704639,0.703158023,0.252194836,0.26153295,0.001438533,0.001847361,3.16E-05,3.01E-05,,,0.000734319,0.000575741,0.071666829,0.060266861,0.000268355,0.006882335,0.006250502,0.008353093,0.179493896,0.169928093,0.001258701,0.000682786,8.80E-06,5.10E-06,0.001083518,0.000380308,,,0.006244338,0.003835294,0,0,0.462463867,0.427327272,0.107280121,0.03447018,2.58E-05,1.92E-05,9.99E-05,0.000201895,0.208970377,0.164055799,0.007038676,0,0.016068296,0.006167784,0.00022818,0.000228461,0.003515773,0.002422729,0,0.000266918,0.000117789,0.000193365,,,0.032748207,0.045130983,0.095195902,0.040146814,0.00696552,0.004746438,0.006559961,0.004322372,0.000787659,0.000619976,0.000322558,9.99E-05,,,0.055217321,0.088378524,0.544429237,0.406289789,0.005213397,0.003563962,,,,,,0.005102278,0.003175983,0.001634788
65,2007,0.006153053,0.006453193,0.000286863,0.000189252,,,0.000808033,0.000896338,,,0.036747051,0.006454133,0.600269321,0.741781092,0.351508841,0.368546951,0.001496296,0.001784674,2.57E-05,2.52E-05,,,0.00058786,0.000506476,0.095193707,0.076851233,0.000275784,0.005700535,0.011173669,0.016229363,0.245128806,0.235258188,0.002591329,0.001337493,5.84E-06,3.30E-06,0.000814142,0.000324817,,,0.005439119,0.002982748,0,0,0.468899248,0.432144853,0.112450368,0.037434892,1.66E-05,1.31E-05,5.63E-05,0.000141646,0.264419008,0.21443024,0.007662526,0,0.013858343,0.00606931,0.000218785,0.000219061,0.004983664,0.003721101,0,0.000208081,0.00011088,0.000183208,,,0.033159424,0.04467902,0.097472434,0.040779788,0.007373519,0.005125218,0.006555384,0.00431159,0.000781799,0.000603039,0.000285132,8.19E-05,,,0.057202542,0.081478484,0.577109211,0.422990689,0.00564062,0.003855217,,,,,,0.002984416,0.002928726,0.001557052
70,2007,0.005362397,0.005607248,0.000285893,0.00018518,,,0.000588197,0.000653022,,,0.032095107,0.005306201,0.621799767,0.767431995,0.484429157,0.508969843,0.001567933,0.001791994,2.41E-05,2.37E-05,,,0.000534802,0.000449862,0.122493368,0.095396922,0.000301694,0.004954059,0.021500228,0.033103092,0.339366273,0.32510301,0.004875833,0.002557003,0,0,0.000813088,0.000295169,,,0.004372975,0.002487051,0,0,0.465801373,0.412185772,0.116825516,0.040544792,0,0,2.63E-05,8.96E-05,0.309963158,0.262691945,0.008194515,0,0.011802456,0.005974936,0.000206397,0.000206688,0.006494635,0.005075338,0,0.000164996,0.000104895,0.000174227,,,0.033529922,0.044435121,0.099673676,0.04149697,0.007618178,0.005321923,0.006553043,0.004307629,0.000779982,0.000594827,0.000269066,6.87E-05,,,0.057365937,0.072967631,0.592910571,0.441807065,0.006082587,0.004157464,,,,,,0.001687842,0.002685137,0.001459762
75,2007,0.004466199,0.00465936,0.000285778,0.000183926,,,0.000429086,0.000475715,,,0.029989857,0.004729402,0.62084473,0.782426209,0.636175501,0.662230265,0.00158547,0.001809137,2.36E-05,2.33E-05,,,0.00049231,0.000343795,0.147383706,0.115767717,0.000302476,0.004187203,0.040807315,0.062607503,0.417389344,0.404658587,0.008168266,0.004748443,0,0,0.000661812,0.000204182,,,0.003390635,0.002533767,0,0,0.462620611,0.394771558,0.120858587,0.043725063,0,0,9.41E-06,4.88E-05,0.318141533,0.273296592,0.007593912,0,0.009895372,0.005881693,0.000192059,0.000192312,0.008037767,0.006477421,0,0.000133032,9.97E-05,0.00016632,,,0.033893934,0.044272586,0.101621987,0.042108398,0.007867169,0.005601734,0.006551261,0.004305741,0.000779593,0.000592823,0.000208139,3.89E-05,,,0.053453914,0.063831818,0.602492931,0.462441684,0.006540919,0.004471406,,,,,,0.000896271,0.002466831,0.001356863
80,2007,0.003266218,0.003322255,0.000285761,0.000183664,,,0.000268021,0.000285009,,,0.025231482,0.004109661,,,0.840253559,0.870207127,0.001659896,0.001800621,2.31E-05,2.27E-05,,,0.000416005,0.000321947,0.188154196,0.151487848,0.000337034,0.003730708,0.096417286,0.151752063,0.535281271,0.530019183,0.010903478,0.006806546,0,0,0.000516531,0.000189338,,,0.002590222,0.002837252,0,0,0.458882427,0.379529331,0.12638916,0.048409838,0,0,1.50E-06,1.22E-05,0.264231433,0.213585625,0.006241158,0,0.009310083,0.006466412,0.000171255,0.000169669,0.017021137,0.01255654,0,9.67E-05,9.31E-05,0.000155166,,,0.034937785,0.044788722,0.101111329,0.037625488,0.008133241,0.005969319,0.006546867,0.0043017,0.000779515,0.000592685,0.000120698,2.60E-05,,,0.046889735,0.058431139,0.599312277,0.48146231,0.007306984,0.005049531,,,,,,0.000460701,0.002189036,0.001279656
0,2008,0,0,0.001699853,0.00126237,,,0.007783923,0.007777066,,,0.000482132,0.000524364,,,0.000462306,0.000273238,0.006962484,0.008366712,0.000363527,0.00038373,,,0,0,0,0,0,0,0,0,0.005413027,0.003436349,0,0,0.000605363,0.000564147,0,0,,,0.000460164,0.000124692,0,0,0.16562016,0.158471335,0.001588564,0.001902996,0.002986002,0.001561521,0.0017048,0.001706629,0,0,0,0,0.023951678,0.020072604,1.00E-05,1.02E-05,0.004364237,0.003574638,0,0,0.001690875,0.002732828,,,0.001009449,0.001124235,0.001686869,0.001590681,0,0,0.034870778,0.02227654,0.004668227,0.003775261,0,0,,,0.021979197,0.029639318,0.0112467,0.009489767,0.023820332,0.020271823,,,4.90E-07,4.28E-07,,0,0.016992913,0.015986872
5,2008,0,0,0.00100401,0.000770608,,,0.003012084,0.003169689,,,0.000519026,0.000539829,,,0.002602763,0.002498437,0.002898683,0.003384418,0.000274174,0.000288121,,,0,0,0,0,0,0,0,0,0.01104154,0.009442133,0,0,0.000541165,0.000502084,0,0,,,0,0,0,0,0.18652096,0.175879358,0.002573603,0.002375105,0.001476846,0.000861173,0.001224829,0.001263192,0,0,0,0,0.027282735,0.015698872,5.50E-05,5.57E-05,0.00126137,0.001138454,0,0,0.000886351,0.001427332,,,0.022358948,0.027484584,0.007367847,0.011698506,0,0,0.008666314,0.005981758,0.002138851,0.001859017,0,0,,,0.04282918,0.041206755,0.01765123,0.014963326,0.002016507,0.001381457,,,0.001658893,0.001829166,,0,0.003277291,0.002583984
10,2008,0.000861011,0.000886455,0.000898757,0.000698664,,,0.002776925,0.002942387,,,0.001245438,0.000791596,,,0.015280995,0.015190974,0.002183493,0.002697381,0.000240043,0.000252048,,,0,0,0,0,0,0,0,0,0.01412692,0.012680304,0,0,0.000520694,0.00048019,0,0,,,1.10E-05,8.59E-06,0,0,0.28030687,0.242929437,0.00414614,0.003209256,0.001111151,0.000664859,0.001110865,0.001149093,0,0,0,0,0.039236407,0.01826394,0.000111056,0.000109981,0.000443689,0.000424902,0,7.48E-05,0.000569536,0.000893687,,,0.042336513,0.061309035,0.013334628,0.024778635,7.50E-05,9.96E-05,0.008349133,0.005741489,0.001935682,0.001702249,0,0,,,0.061224736,0.062678014,0.054234732,0.043396647,0.001648929,0.001124273,,,0.013378608,0.015631155,,0,0.002397012,0.001450667
