has_condition,Type1Diabetes,Type2Diabetes,Hypertension,Obesity,MajorDepressiveDisorder,RoadInjuries,AlzheimersDisease,InterpersonalViolence,CardiovascularDiseases,ChronicLiverDisease,Asthma,ChronicKidneyDisease,Flu,HPV,CervicalCancer,ColorectalCancer,BreastCancer,LungCancer,ProstateCancer,ParkinsonsDisease,TobaccoUse,AlcoholUseDisorder,ViralHepatitis,HIV,Hyperlipidemia,Dementia,PTSD,COPD,StimulantUseDisorder,OpioidUseDisorder,AnxietyDisorder,ChronicPain,NeonatalEncephalopathy,NeonatalPretermBirth,NeonatalSepsis,NeonatalJaundice,DiarrhealDisease,CongenitalHeartAnomalies,CongenitalMusculoskeletal,DigestiveCongenitalAnomalies,DownSyndrome,NeuralTubeDefects,ChromosomalAbnormalities,EsophagealCancer,ProteinEnergyMalnutrition,COVID19,LowerRespiratoryInfections,Tuberculosis,MaternalConditions,BipolarDisorder,SelfHarm
NeonatalPretermBirth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NeonatalSepsis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NeonatalJaundice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DiarrhealDisease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CongenitalHeartAnomalies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CongenitalMusculoskeletal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DigestiveCongenitalAnomalies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DownSyndrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NeuralTubeDefects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChromosomalAbnormalities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EsophagealCancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProteinEnergyMalnutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVID19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LowerRespiratoryInfections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MaternalConditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BipolarDisorder,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,13.3
SelfHarm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
