year,sex,AcuteHepatitis,AlcoholUseDisorder,AlzheimersDisease,AnxietyDisorder,Asthma,BipolarDisorder,BreastCancer,COPD,COVID19,CardiovascularDiseases,CervicalCancer,ChromosomalAbnormalities,ChronicKidneyDisease,ChronicLiverDisease,ColorectalCancer,CongenitalHeartAnomalies,CongenitalMusculoskeletal,Dementia,DiarrhealDiseases,DigestiveCongenitalAnomalies,DownSyndrome,DrugUseDisorder,EsophagealCancer,Flu,HPV,Hyperlipidemia,Hypertension,InterpersonalViolence,LowerRespiratoryInfections,LungCancer,MajorDepressiveDisorder,MaternalConditions,NeonatalEncephalopathy,NeonatalJaundice,NeonatalPretermBirth,NeonatalSepsis,NeuralTubeDefects,Obesity,PTSD,ParkinsonsDisease,ProstateCancer,ProteinEnergyMalnutrition,RoadInjuries,SelfHarm,TobaccoUse,Tuberculosis,Type1Diabetes,Type2Diabetes
2007,Female,0.004098270096622881,0.004662087675227388,0.0019052387633491674,0.04174067008096563,0.05117919009704548,0.003948124871808361,0.0023612606867094883,0.009562591218957738,0.0,0.04516606465634541,0.010826210428605999,0.0006318678396802268,0.07090400890811516,0.16605434758956583,0.0002087050576980741,0.0032655113229471885,0.0027563475183024454,,0.013071369963586245,0.0008934009830907329,0.0003324741289193535,0.005563005023165852,6.28606553336174e-05,,,,0.43931626061747786,0.03768572832591941,0.0012787811437138662,2.368330035649217e-05,,0.00221807325467359,0.0005842973997481933,0.0009669159450058654,0.007495619677836639,0.0016121116482125414,0.00019687356292797032,,,0.00013379163231155277,0.0,0.004409355464169292,0.009596899912777781,0.001298158891674075,,0.2944186394231788,0.0001363085867058054,0.028908277679058847
2007,Male,0.005967092460794316,0.02630614015198867,0.0009531561551511799,0.02942512107869573,0.039616268248454774,0.003563971248827509,5.0326580431645834e-05,0.010134705000282435,0.0,0.04014572802684673,,0.0010475189295755976,0.06303377646489443,0.21041847253946122,0.0001385463424077714,0.002718914453598938,0.0027749992974044763,,0.025838578026883243,0.0005976750339537305,0.00037907285069734643,0.008428692305130141,0.0001363548608285156,,,,0.3653591833546253,0.04172049300146598,0.0015575101651055868,4.6809399892021296e-05,,0.0,0.0008063950813490807,0.0009503868928820516,0.011675577260332427,0.0019536355199136174,0.0001976312886297656,,,0.0001913683450150152,0.0004859113067575071,0.005879160632724465,0.025552229382042876,0.001684837559314316,,0.32845549459715495,0.00013178534318783106,0.03249048674430374
2008,Female,0.004057854617791668,0.004725935486945211,0.0017198395389915145,0.04170725802237404,0.05129713355370589,0.003987718921071517,0.00220011373132486,0.00960538147606331,0.0,0.04559040283154574,0.009753821573307262,0.0006308177800136188,0.07176124186591651,0.16425320098660215,0.000190851633671474,0.0032585973383690682,0.0027525695594074104,,0.01271638040311922,0.0008833679055496388,0.000331803176987813,0.0056260386412918615,5.771777973164089e-05,,,,0.44158872366525465,0.03799516565246273,0.0012458675026556555,2.197563757987918e-05,0.023666640711146426,0.0022241912574868183,0.0006107016140657192,0.0009618535402233126,0.007382123456046375,0.0016408026365453787,0.00019593139948580508,,,0.0001370356999598422,0.0,0.004257327185086601,0.009752231470109474,0.001314198203594127,,0.2915630655198276,0.00013855226524164544,0.029923322138028605
2008,Male,0.005853856870135803,0.026560190997699146,0.0008917945874312934,0.029489876631633858,0.039592834300466825,0.0035996412647765494,5.066477134591548e-05,0.010160439219778154,0.0,0.04038373577500233,,0.0010438772037264798,0.06380193519714188,0.20829322047154444,0.0001377948264282491,0.0027189771840992988,0.002774307016766589,,0.025011677985097312,0.0005869207183055016,0.00037772650670263736,0.008551541937581033,0.0001327924700975362,,,,0.3652031191825846,0.04212776250923575,0.0015184459846479994,4.5818012119198597e-05,0.018615248317822672,0.0,0.0008430916782810175,0.000946457631945145,0.01155904302269339,0.0020183558706060646,0.00019624308920952472,,,0.00019388047125795587,0.0004853901025186533,0.005714533017848949,0.025765749227265194,0.0017012037206501393,,0.32571524619410797,0.0001340131560750208,0.0332839337085138
2009,Female,0.004026823643550689,0.004785385845085457,0.001743780500838837,0.041586912715348194,0.05140396702737651,0.00402499959784145,0.0021563752029864344,0.009713644776504214,0.0,0.046218131866530135,0.009448704957625247,0.0006294962140364846,0.07293311271412427,0.16301871453716701,0.00018446202409766325,0.003252567897893084,0.002747416497024518,,0.012414550215635922,0.0008722370158170794,0.0003309115055050321,0.005686916661134107,5.51862131533151e-05,,,,0.442937397714388,0.0382742290526164,0.0012249928477575665,2.1379505348565108e-05,0.021968055242529132,0.0022304624087944908,0.0006413580586820953,0.0009568087416729109,0.007290086251270425,0.001672550096966104,0.00019485770015351155,,,0.000140496358153063,0.0,0.004123057653225568,0.009898610889737673,0.0013319378235903622,,0.2881323189439691,0.00014066438044961675,0.03071086005708265
2009,Male,0.005761994437128426,0.026801050080219387,0.0009011076794016705,0.029499872614729184,0.03955099061054058,0.0036340637759622947,4.9991267857715625e-05,0.010223064394995178,0.0,0.04070332296450437,,0.0010402891367222067,0.06469804844839427,0.20680994220100793,0.00013436656004520676,0.0027189096632717564,0.002772622747659002,,0.02418935937709548,0.0005754351467201499,0.00037642719651930434,0.008670156783550846,0.000127225677626229,,,,0.36409528613561215,0.04251475156316213,0.0014882073765747374,4.400188665664168e-05,0.017343269924320153,0.0,0.000886063892411261,0.0009423988399819627,0.011472859217071783,0.0020868369658703905,0.00019465169580139207,,,0.0001965458052184019,0.00048398081527483496,0.005562417309530593,0.025959208781148997,0.001719151293740295,,0.322474062759704,0.00013616157573361962,0.03397163310798496
2010,Female,0.003995784507132211,0.004835197990877184,0.0017816342254012413,0.0414827440016275,0.0515216950782316,0.004059148883821236,0.002096289801509637,0.00985827322216705,0.0,0.046921228761778996,0.009024079035963499,0.000625667853307855,0.07421833711910011,0.16328073088598,0.00017736845603508043,0.003241752120402628,0.0027340672260997303,,0.012184213561920239,0.0008589251190056505,0.0003288331283832502,0.0057275911604392,5.2625466153632844e-05,,,,0.44348668897815957,0.03850110111628536,0.0012010828909612453,2.026242710066556e-05,0.02285489163059658,0.0022315697978612043,0.0006715053564224557,0.000951221113737521,0.007233642573216514,0.0016994521846367169,0.0001933870685931434,,,0.00014471478707276072,0.0,0.004020158387061495,0.010026705305067945,0.0013526921536761648,,0.2837521564935386,0.00014268076118621745,0.03149572502431885
2010,Male,0.005696374702394837,0.027141873169750513,0.0009154783664788272,0.029549201140807634,0.039503034225319526,0.003673033039779269,4.701433168938667e-05,0.010328950013053053,0.0,0.041124496879449114,,0.0010319152819837727,0.06570409630751,0.2073904272815442,0.0001237280314672528,0.002709678693715248,0.0027585544271629997,,0.023375837205406976,0.0005623882891734282,0.0003740915824331845,0.008763838436951856,0.00011522593330558608,,,,0.36182701000697404,0.042992323374710414,0.0014529616540837561,3.67403853812519e-05,0.01814780867489887,0.0,0.0009284468005639863,0.0009365858364336989,0.011410371356762926,0.0021414126582449088,0.00019241578134542993,,,0.00020061718761849094,0.0004691099873715716,0.005427804635926766,0.02621591846466294,0.0017448477366941802,,0.318658431301178,0.00013837785030607712,0.03472315595759628
2011,Female,0.003958295810168665,0.004873922069716045,0.0018189399516276464,0.04149022817772182,0.05100852794692588,0.004093228220642487,0.0020488375789096264,0.0099924414580133,0.0,0.04752850993543325,0.008657424434810329,0.0006177088154475659,0.07548853192036721,0.16396655918673483,0.0001721479453569003,0.0032331218437721926,0.0027162663253686155,,0.012035152840736175,0.0008382464156127584,0.0003238683583293446,0.005758238302172556,5.075910405049773e-05,,,,0.44336068406071255,0.038673078484146875,0.001170371305239676,1.973352093157473e-05,0.02291269840543338,0.002227457270239961,0.0007108238066194474,0.0009463972725381401,0.007247877138872232,0.0017234196716454787,0.00018747290030740303,,,0.00014868537139267932,0.0,0.0039767838257064305,0.010043191363908908,0.0013752545977374164,,0.2775121849100444,0.00014464851993108916,0.03219641615113207
2011,Male,0.005639800454550176,0.02748033755406127,0.0009291297970995944,0.02965593973421729,0.038909913144309916,0.003711883819814305,4.4169217940300386e-05,0.01042842034351016,0.0,0.04149352422450414,,0.0010202994866682984,0.06664718027016725,0.20839520210062762,0.00011397191992447593,0.0026976331817232537,0.0027394455332420816,,0.022531432680725418,0.0005467845328822662,0.0003698920011258128,0.008851385697686797,0.00010435596382561215,,,,0.35898626711078024,0.043346155173523554,0.001408052989713743,3.3230412839459455e-05,0.018305951985447894,0.0,0.0009861467500621329,0.0009308012658754446,0.011438596008509438,0.0021834454073235325,0.0001862398222105993,,,0.0002062257059254478,0.0004575867759317167,0.00534373572180553,0.026293325967190067,0.001773658895853967,,0.3131518680879024,0.00014054776660434818,0.035451887957545544
