measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Eswatini,Both,All ages,Neonatal encephalopathy due to birth asphyxia and trauma,Rate,2007,66.1376219,101.3370677,39.86266313
Prevalence,Eswatini,Both,All ages,Amphetamine use disorders,Rate,2007,60.76416645,85.19543161,39.61233956
Prevalence,Eswatini,Both,All ages,Cocaine use disorders,Rate,2007,35.78831529,50.40027155,25.21200711
Prevalence,Eswatini,Both,All ages,Major depressive disorder,Rate,2007,1920.820652,2446.312607,1403.056759
Prevalence,Eswatini,Both,All ages,Other drug use disorders,Rate,2007,8.208015862,10.82341714,6.035711925
Prevalence,Eswatini,Both,All ages,Anxiety disorders,Rate,2007,3505.929735,4422.709003,2568.058511
Prevalence,Eswatini,Both,All ages,Acute hepatitis,Rate,2007,478.4978285,526.7581638,436.5191074
Prevalence,Eswatini,Both,All ages,Hemolytic disease and other neonatal jaundice,Rate,2007,91.87936698,101.6457492,82.21808027
Prevalence,Eswatini,Both,All ages,Protein-energy malnutrition,Rate,2007,491.7510044,533.7220685,453.4229375
Prevalence,Eswatini,Both,All ages,Esophageal cancer,Rate,2007,9.91721164,16.62268755,5.30996382
Prevalence,Eswatini,Both,All ages,Cervical cancer,Rate,2007,566.0189272,1282.573249,189.4867119
Prevalence,Eswatini,Both,All ages,Colon and rectum cancer,Rate,2007,17.64652625,30.71482811,9.788876479
Prevalence,Eswatini,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,2007,3.491465098,6.074988019,1.909878332
Prevalence,Eswatini,Both,All ages,Musculoskeletal disorders,Rate,2007,10079.65842,10731.45122,9427.200262
Prevalence,Eswatini,Both,All ages,Congenital heart anomalies,Rate,2007,289.4173251,321.5641235,257.0844154
Prevalence,Eswatini,Both,All ages,Other chromosomal abnormalities,Rate,2007,78.90146462,92.33314186,67.11608745
Prevalence,Eswatini,Both,All ages,Down syndrome,Rate,2007,33.84382867,42.02791862,26.88994215
Prevalence,Eswatini,Both,All ages,Diabetes mellitus type 1,Rate,2007,13.20156782,16.28209611,10.33495218
Prevalence,Eswatini,Both,All ages,Diabetes mellitus type 2,Rate,2007,3200.245898,3436.369273,2954.416792
Prevalence,Eswatini,Both,All ages,Digestive congenital anomalies,Rate,2007,71.94575143,87.78914702,55.70729942
Prevalence,Eswatini,Both,All ages,Asthma,Rate,2007,4464.418171,5432.931383,3624.657875
