measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Eswatini,Male,80+ years,Interstitial lung disease and pulmonary sarcoidosis,Percent,2007,0.001728067,0.002234776,0.001350836
Prevalence,Eswatini,Female,80+ years,Interstitial lung disease and pulmonary sarcoidosis,Percent,2007,0.001374799,0.001733952,0.00110589
Prevalence,Eswatini,Both,80+ years,Interstitial lung disease and pulmonary sarcoidosis,Percent,2007,0.001471309,0.001867371,0.001173426
Prevalence,Eswatini,Male,<5 years,Other transport injuries,Percent,2007,6.54E-05,8.25E-05,5.19E-05
Prevalence,Eswatini,Female,<5 years,Other transport injuries,Percent,2007,0.000106367,0.000134474,8.39E-05
Prevalence,Eswatini,Both,<5 years,Other transport injuries,Percent,2007,8.59E-05,0.000108736,6.81E-05
Prevalence,Eswatini,Male,5-9 years,Other transport injuries,Percent,2007,0.000146173,0.000190403,0.000110728
Prevalence,Eswatini,Female,5-9 years,Other transport injuries,Percent,2007,0.000243577,0.000317389,0.00018376
Prevalence,Eswatini,Both,5-9 years,Other transport injuries,Percent,2007,0.000195483,0.000254582,0.000149185
Prevalence,Eswatini,Male,10-14 years,Other transport injuries,Percent,2007,0.000239687,0.000312236,0.000181339
Prevalence,Eswatini,Female,10-14 years,Other transport injuries,Percent,2007,0.000379651,0.000506473,0.000285928
Prevalence,Eswatini,Both,10-14 years,Other transport injuries,Percent,2007,0.000311848,0.000410493,0.000235448
Prevalence,Eswatini,Male,15-19 years,Other transport injuries,Percent,2007,0.000336254,0.000418459,0.000265401
Prevalence,Eswatini,Female,15-19 years,Other transport injuries,Percent,2007,0.000490207,0.000629233,0.000387595
Prevalence,Eswatini,Both,15-19 years,Other transport injuries,Percent,2007,0.000417708,0.000529189,0.00033111
Prevalence,Eswatini,Male,20-24 years,Other transport injuries,Percent,2007,0.000446335,0.000588295,0.000354709
Prevalence,Eswatini,Female,20-24 years,Other transport injuries,Percent,2007,0.000587857,0.000779297,0.00046571
Prevalence,Eswatini,Both,20-24 years,Other transport injuries,Percent,2007,0.000523332,0.000684249,0.000414781
Prevalence,Eswatini,Male,25-29 years,Other transport injuries,Percent,2007,0.000563504,0.000749901,0.000453537
Prevalence,Eswatini,Female,25-29 years,Other transport injuries,Percent,2007,0.000680893,0.000911954,0.000545074
Prevalence,Eswatini,Both,25-29 years,Other transport injuries,Percent,2007,0.000627322,0.000837951,0.000502256
Prevalence,Eswatini,Male,30-34 years,Other transport injuries,Percent,2007,0.000698775,0.000896429,0.00055892
Prevalence,Eswatini,Female,30-34 years,Other transport injuries,Percent,2007,0.000785364,0.001024115,0.000629358
Prevalence,Eswatini,Both,30-34 years,Other transport injuries,Percent,2007,0.000744626,0.000961942,0.000598055
Prevalence,Eswatini,Male,35-39 years,Other transport injuries,Percent,2007,0.000833275,0.001033735,0.000682791
Prevalence,Eswatini,Female,35-39 years,Other transport injuries,Percent,2007,0.000884654,0.001134489,0.000713061
Prevalence,Eswatini,Both,35-39 years,Other transport injuries,Percent,2007,0.000860526,0.001090213,0.000697366
Prevalence,Eswatini,Male,40-44 years,Other transport injuries,Percent,2007,0.000980117,0.001179083,0.000820572
Prevalence,Eswatini,Female,40-44 years,Other transport injuries,Percent,2007,0.000987127,0.001230228,0.000813785
Prevalence,Eswatini,Both,40-44 years,Other transport injuries,Percent,2007,0.000983935,0.001200684,0.000819395
Prevalence,Eswatini,Male,45-49 years,Other transport injuries,Percent,2007,0.001137053,0.001377127,0.000945655
Prevalence,Eswatini,Female,45-49 years,Other transport injuries,Percent,2007,0.001087433,0.001375641,0.000895403
Prevalence,Eswatini,Both,45-49 years,Other transport injuries,Percent,2007,0.001109942,0.001354248,0.000913782
Prevalence,Eswatini,Male,<5 years,Falls,Percent,2007,0.000532667,0.000781641,0.000361555
Prevalence,Eswatini,Female,<5 years,Falls,Percent,2007,0.00056602,0.000849688,0.000348099
Prevalence,Eswatini,Both,<5 years,Falls,Percent,2007,0.000549384,0.000812357,0.000355324
Prevalence,Eswatini,Male,50-54 years,Other transport injuries,Percent,2007,0.001258075,0.00149302,0.001068633
Prevalence,Eswatini,Female,50-54 years,Other transport injuries,Percent,2007,0.001172293,0.001442922,0.000986612
Prevalence,Eswatini,Both,50-54 years,Other transport injuries,Percent,2007,0.001212318,0.001459143,0.001027979
Prevalence,Eswatini,Male,55-59 years,Other transport injuries,Percent,2007,0.001380192,0.001635537,0.001179771
Prevalence,Eswatini,Female,55-59 years,Other transport injuries,Percent,2007,0.001267084,0.001533788,0.001080954
Prevalence,Eswatini,Both,55-59 years,Other transport injuries,Percent,2007,0.001319377,0.001567231,0.001127887
Prevalence,Eswatini,Male,60-64 years,Other transport injuries,Percent,2007,0.00147058,0.001742106,0.001269284
Prevalence,Eswatini,Female,60-64 years,Other transport injuries,Percent,2007,0.001350409,0.001637249,0.001150726
Prevalence,Eswatini,Both,60-64 years,Other transport injuries,Percent,2007,0.001402206,0.001681087,0.001210323
Prevalence,Eswatini,Male,65-69 years,Other transport injuries,Percent,2007,0.001578003,0.001836316,0.00134338
Prevalence,Eswatini,Female,65-69 years,Other transport injuries,Percent,2007,0.001462854,0.001749481,0.001242805
Prevalence,Eswatini,Both,65-69 years,Other transport injuries,Percent,2007,0.00151018,0.001778706,0.001292327
Prevalence,Eswatini,Male,70-74 years,Other transport injuries,Percent,2007,0.001671,0.001927664,0.001432151
Prevalence,Eswatini,Female,70-74 years,Other transport injuries,Percent,2007,0.001573914,0.001834212,0.001343393
Prevalence,Eswatini,Both,70-74 years,Other transport injuries,Percent,2007,0.001611845,0.001860593,0.001378228
Prevalence,Eswatini,Male,75-79 years,Other transport injuries,Percent,2007,0.001777798,0.002035996,0.001541815
Prevalence,Eswatini,Female,75-79 years,Other transport injuries,Percent,2007,0.001709359,0.001976094,0.001459277
Prevalence,Eswatini,Both,75-79 years,Other transport injuries,Percent,2007,0.001733405,0.001983297,0.00149501
Prevalence,Eswatini,Male,80+ years,Other transport injuries,Percent,2007,0.002038176,0.002318332,0.001784652
Prevalence,Eswatini,Female,80+ years,Other transport injuries,Percent,2007,0.002062306,0.002368288,0.001767926
Prevalence,Eswatini,Both,80+ years,Other transport injuries,Percent,2007,0.002055713,0.002360822,0.001774927
Prevalence,Eswatini,Male,50-54 years,Falls,Percent,2007,0.061854137,0.071595421,0.054074914
Prevalence,Eswatini,Female,50-54 years,Falls,Percent,2007,0.025385314,0.030173593,0.021627714
Prevalence,Eswatini,Both,50-54 years,Falls,Percent,2007,0.042401296,0.049120003,0.036831806
Prevalence,Eswatini,Male,55-59 years,Falls,Percent,2007,0.06775737,0.077380327,0.059515853
Prevalence,Eswatini,Female,55-59 years,Falls,Percent,2007,0.02856984,0.033268048,0.024315365
Prevalence,Eswatini,Both,55-59 years,Falls,Percent,2007,0.046687463,0.053535776,0.040516181
Prevalence,Eswatini,Male,60-64 years,Falls,Percent,2007,0.072731025,0.083108393,0.06420745
Prevalence,Eswatini,Female,60-64 years,Falls,Percent,2007,0.031974755,0.03685646,0.027627349
Prevalence,Eswatini,Both,60-64 years,Falls,Percent,2007,0.049541578,0.05674855,0.043331957
Prevalence,Eswatini,Male,65-69 years,Falls,Percent,2007,0.076979275,0.086799827,0.06818477
Prevalence,Eswatini,Female,65-69 years,Falls,Percent,2007,0.035616352,0.040528688,0.031161761
Prevalence,Eswatini,Both,65-69 years,Falls,Percent,2007,0.052616563,0.059342769,0.046704572
Prevalence,Eswatini,Male,70-74 years,Falls,Percent,2007,0.081129174,0.090868535,0.07251528
Prevalence,Eswatini,Female,70-74 years,Falls,Percent,2007,0.040615562,0.04558542,0.03617649
Prevalence,Eswatini,Both,70-74 years,Falls,Percent,2007,0.056444101,0.063318726,0.05063996
Prevalence,Eswatini,Male,75-79 years,Falls,Percent,2007,0.085767023,0.095536235,0.077313991
Prevalence,Eswatini,Female,75-79 years,Falls,Percent,2007,0.048693505,0.054361263,0.043774058
Prevalence,Eswatini,Both,75-79 years,Falls,Percent,2007,0.061719167,0.068325927,0.056005823
Prevalence,Eswatini,Male,80+ years,Falls,Percent,2007,0.095953571,0.106781752,0.087750143
