Age,l(x),d(x),q(x),m(x),L(x),T(x),e(x)
0,50000.0,31606.027941427885,0.6321205588285577,1.0,27875.780441000483,47798.38067089515,0.955967613417903
1,18393.972058572115,11627.20789674148,0.6321205588285577,1.0,12580.368110201374,19922.60022989467,1.0831048436115336
2,6766.764161830634,4277.410743437437,0.6321205588285577,1.0,4628.058790111916,7342.2321196932935,1.085043300475685
3,2489.353418393197,1573.571473956488,0.6321205588285577,1.0,1702.5676814149529,2714.173329581378,1.0903125725447596
4,915.781944436709,578.8845944824357,0.6321205588285577,1.0,626.3396471954911,1011.6056481664249,1.1046359390593319
5,336.89734995427335,212.9597411209554,0.6321205588285577,1.0,230.41747939379565,385.26600097093376,1.1435708859782525
6,123.93760883331792,78.3435105555921,0.6321205588285577,1.0,84.76585355552186,154.84852157713811,1.2494070446799719
7,45.59409827772581,28.82096688260022,0.6321205588285577,1.0,31.183614836425704,70.08266802161627,1.5370995516727637
8,16.773131395125592,10.602641190791614,0.6321205588285577,1.0,11.471810799729784,38.89905318519057,2.319128865615096
9,6.170490204333977,3.9004937162097346,0.6321205588285577,1.0,4.22024334622911,27.427242385460787,4.4449049390268325
10,2.2699964881242427,0.3065515258932569,0.13504493398867257,0.14507772020725387,2.1167207251776143,23.206999039231675,10.223363410754976
11,1.9634449622309857,0.0790539961203144,0.04026290404926269,0.0410958904109589,1.9239179641708284,21.09027831405406,10.741466514085529
12,1.8843909661106713,0.06125707555775077,0.03250762535981777,0.033047735618115054,1.8537624283317957,19.16636034988323,10.17111666027674
13,1.8231338905529204,0.029422994368603236,0.01613869092175113,0.016270337922403004,1.8084223933686188,17.312597921551436,9.496064996247132
14,1.7937108961843171,0.06708844589181855,0.03740203955639276,0.03811944091486658,1.7601666732384078,15.504175528182817,8.643631234645545
15,1.7266224502924985,0.10943100513493731,0.06337865299759027,0.06547619047619048,1.6719069477250297,13.74400885494441,7.960054528780224
16,1.617191445157561,0.11560501262832772,0.07148505081107726,0.0741687979539642,1.5593889388433972,12.07210190721938,7.4648563986456224
17,1.5015864325292334,0.0969597779675455,0.06457155969651973,0.06675062972292191,1.4531065435454606,10.512712968375983,7.001070827916739
18,1.404626654561688,0.10662723284566472,0.07591144059482313,0.07894736842105263,1.3513130381388554,9.059606424830521,6.449832341859953
19,1.2979994217160231,0.09191651025672817,0.07081398398098648,0.07344632768361582,1.2520411665876592,7.7082933866916665,5.9385953935949365
20,1.206082911459295,0.16215251378776785,0.13444557770209353,0.1443850267379679,1.1250066545654112,6.456252220104007,5.3530749492937355
21,1.0439303976715273,0.14565664108294088,0.139527157565127,0.15027322404371585,0.9711020771300569,5.331245565538596,5.106897526338794
22,0.8982737565885864,0.12751808520634325,0.14195904563729467,0.15310344827586206,0.8345147139854149,4.360143488408539,4.853913917030424
23,0.7707556713822432,0.12396095471596465,0.1608304152905653,0.17534246575342466,0.7087751940242608,3.525628774423124,4.574249538897844
24,0.6467947166662785,0.09299163293677173,0.14377302494997324,0.15521978021978022,0.6002989001978927,2.8168535803988632,4.3550967684423005
25,0.5538030837295068,0.11083639508309866,0.2001368326385743,0.22331460674157302,0.49838488618795745,2.2165546802009706,4.00242386747633
26,0.44296668864640815,0.08168844537289198,0.18441216341235678,0.20384615384615384,0.40212246595996215,1.7181697940130132,3.878778784163876
27,0.36127824327351615,0.08780137382273062,0.2430297850962978,0.2784313725490196,0.3173775563621508,1.3160473280530511,3.6427527883451853
28,0.27347686945078553,0.05619030716471892,0.20546639749666595,0.23,0.24538171586842605,0.9986697716909004,3.651752243970379
29,0.2172865622860666,0.04579828363129065,0.21077365829459505,0.23670212765957446,0.19438742047042126,0.7532880558224744,3.466795405556373
30,0.17148827865477595,0.04388296647241338,0.25589484492263426,0.2955729166666667,0.14954679541856924,0.5589006353520531,3.2591185807933805
31,0.12760531218236257,0.03328976143752622,0.26088068645568097,0.3022959183673469,0.11096043146359946,0.40935383993348384,3.2079686412151123
32,0.09431555074483636,0.023192525593128215,0.24590351654600262,0.2822349570200573,0.08271928794827224,0.2983934084698844,3.163777405882571
33,0.07112302515170814,0.019950128774332918,0.28050169030041294,0.32920110192837465,0.06114796076454168,0.21567412052161217,3.03240926636024
34,0.051172896377375224,0.013216106116387539,0.2582637890754743,0.29876160990712075,0.04456484331918146,0.15452615975707049,3.0196875826123892
35,0.03795679026098769,0.010745589215038204,0.28310057676511735,0.33281972265023113,0.03258399565346859,0.10996131643788903,2.897013042509767
36,0.027211201045949485,0.007560361065555891,0.2778400355349727,0.325508607198748,0.023431020513171537,0.07737732078442044,2.843583443956011
