year,No_intervention,No_intervention,No_intervention,T2D_intervention,T2D_intervention,T2D_intervention
,Both,Female,Male,Both,Female,Male
2008,52.715601256494296,50.35258883233661,55.110546280978426,53.951869960322114,51.85135594555573,56.08076929961237
2009,46.4933649213919,45.839575058102426,47.20854350423909,47.32174920751251,46.01176086253278,48.757816242971494
2010,42.798921251363794,41.86228612220111,43.80165283542436,43.36568507204845,41.94924875965164,44.884514370883586
2011,40.458235216955174,40.107688620910146,40.82155476589254,41.07190260023359,40.38365900047661,41.78522390200602
2012,39.30651598352899,39.28201743965876,39.331257087239514,39.9883236436512,39.66799536482501,40.313248244359
2013,38.456952089497356,38.197999783534776,38.715659870147405,39.09638989046236,38.599001199027704,39.59472060593383
2014,38.26233800058873,37.94024613711755,38.58416454951009,38.83043164188672,38.33696964592529,39.323893637848144
2015,37.65763233148668,37.01644374291427,38.28022226629341,38.293241841302915,37.675819498073444,38.89408608097688
2016,37.37576252980192,36.78528114358063,37.953424254348654,37.97176870754061,37.36481858436977,38.56792327516098
2017,36.878885213387,36.317391117090615,37.41929818449467,37.436485442977855,37.001318755470045,37.85891427643077
2018,36.168241664820556,35.69527009617562,36.62627186582855,36.87862476555908,36.3861472549629,37.359293551105544
2019,35.648119646912605,35.365283513761156,35.92478219949272,36.55533936111357,36.19502024939637,36.9109029921685
2020,35.309524223743495,34.960867958721224,35.65076577613534,36.25250121624517,35.88402503831359,36.61421795347152
2021,35.204859374995905,34.998413778900705,35.40613476064407,36.14396685738242,35.970947058075254,36.31216800257486
2022,35.02093609106062,34.691804182816476,35.34235079701356,35.887139509767366,35.67317249329845,36.09500811778644
2023,35.11508989522481,34.88080984776199,35.34519123691669,35.94099408385979,35.7521800503398,36.125174644164574
2024,35.10219628145859,34.81081441319896,35.39068469240192,35.8969437935973,35.680688452530504,36.109577822072524
2025,35.32836305853831,35.112297505416265,35.542094802549975,36.12028460955542,35.996341352085224,36.2415826064531
2026,35.46618996125904,35.26854478199812,35.6620598844188,36.34663708332409,36.277402848866814,36.41437067427589
2027,35.721037740108116,35.500096576664326,35.939119500868436,36.572257530263,36.40719431694251,36.73341148705113
2028,35.903768542882574,35.69303154575202,36.111589203711084,36.800221274265205,36.63600117020247,36.96078119770248
2029,36.194360328803924,36.058873534405144,36.32863532556093,37.112645928141646,37.09326534488052,37.13170607986653
2030,36.49331561905265,36.38143251125713,36.604113687010866,37.42510106740296,37.449701210230366,37.400958226301164
2031,36.79948610618372,36.699122691591725,36.898353951,37.73044133569138,37.75641009287604,37.705045870386755
2032,37.06188366118347,37.01349597739585,37.1096522599687,38.08218379291175,38.18939320023112,37.97703662678606
2033,37.40496355247482,37.299909167039075,37.50825710522394,38.40534439703813,38.465177974353004,38.346765253572364
2034,37.73783618907066,37.7026160100495,37.772735185753746,38.73255032195604,38.84979172006794,38.616450975952134
2035,38.0595666372999,38.10073833643345,38.01846230653801,39.12350353081853,39.31561647284116,38.93258631250144
2036,38.46512261705951,38.520724136875,38.40968415155431,39.61267012374017,39.83430652647806,39.39182527958349
2037,38.76180418795218,38.820642328947606,38.70315946622366,39.9711333194946,40.20521258771621,39.73756258759326
2038,39.13444994339659,39.156934261153204,39.11206583164017,40.37188351251261,40.57270199911312,40.17136128079223
2039,39.45608820415187,39.62473482794054,39.28740667833013,40.75344664745879,41.009576687158315,40.49694868034742
2040,39.83459256309598,39.99516858309832,39.67404882616965,41.1410604719362,41.37893611049212,40.90323217181581
2041,40.1961719252466,40.38050170592008,40.01090131726698,41.569930665269936,41.79571697607841,41.343312487115064
2042,40.492821919670334,40.698907836717524,40.284602444432856,41.897392914785925,42.096117461544225,41.697051804366886
2043,40.78926072773979,40.94103279173746,40.63544764980713,42.161417095476025,42.39594528705385,41.92442745905933
2044,41.01666173915396,41.199134170935494,40.832229738119594,42.45108873529887,42.62686304952541,42.273863044577176
2045,41.30481355746849,41.50917275207981,41.09810166224617,42.736647213724225,42.9463060299101,42.52479071602696
2046,41.62552823603535,41.904999770625004,41.34393327759455,43.040810049077166,43.324175312072114,42.754878861096955
2047,41.88511011740256,42.209112639445614,41.556988221032796,43.35117757694684,43.61373929906877,43.08469965015441
2048,42.17812773548299,42.49610235290159,41.855983132211776,43.610260949677986,43.8763723456759,43.33930083980028
2049,42.368291729766845,42.609026795613595,42.12477880114176,43.86168649365362,44.10833625920923,43.61095561551131
