Age,l(x),d(x),q(x),m(x),L(x),T(x),e(x)
0,5000.0,4.918858118071512,0.0009837716236143024,0.000984255844519248,4997.540570940964,42466992418758.67,8493398483.751735
1,4995.0811418819285,3.685967712703132,0.0007379194867922446,0.000738191883389436,4993.238158025577,42466992413761.13,8501762275.229312
2,4991.395174169225,2.946815711669842,0.0005903791643105706,0.0005905535067115488,4989.92176631339,42466992408767.9,8508040523.126114
3,4988.4483584575555,0.7611656849312567,0.00015258565995591696,0.00015259730233198662,4988.06777561509,42466992403777.98,8513066459.188306
4,4987.687192772624,0.38685233772412175,7.756146742415755e-05,7.756447547023463e-05,4987.493766603762,42466992398789.91,8514365628.28688
5,4987.3003404349,0.0,0.0,0.0,4987.3003404349,42466992393802.414,8515026065.203691
6,4987.3003404349,0.0,0.0,0.0,4987.3003404349,42466992388815.12,8515026064.2036915
7,4987.3003404349,0.0,0.0,0.0,4987.3003404349,42466992383827.82,8515026063.2036915
8,4987.3003404349,0.0,0.0,0.0,4987.3003404349,42466992378840.52,8515026062.203692
9,4987.3003404349,0.0,0.0,0.0,4987.3003404349,42466992373853.23,8515026061.203693
10,4987.3003404349,0.0,0.0,0.0,4987.3003404349,42466992368865.93,8515026060.203694
11,4987.3003404349,0.0,0.0,0.0,4987.3003404349,42466992363878.63,8515026059.203694
12,4987.3003404349,0.0,0.0,0.0,4987.3003404349,42466992358891.336,8515026058.203695
13,4987.3003404349,0.0,0.0,0.0,4987.3003404349,42466992353904.04,8515026057.203696
14,4987.3003404349,0.0,0.0,0.0,4987.3003404349,42466992348916.74,8515026056.203697
15,4987.3003404349,0.0,0.0,0.0,4987.3003404349,42466992343929.445,8515026055.203697
16,4987.3003404349,0.0,0.0,0.0,4987.3003404349,42466992338942.15,8515026054.203698
17,4987.3003404349,0.0,0.0,0.0,4987.3003404349,42466992333954.85,8515026053.203699
18,4987.3003404349,0.0,0.0,0.0,4987.3003404349,42466992328967.555,8515026052.203699
19,4987.3003404349,0.7352646810259102,0.00014742739174232168,0.0001474382602285293,4986.932708094388,42466992323980.26,8515026051.2037
20,4986.565075753874,0.7351562828716851,0.00014742739174230938,0.0001474382602285293,4986.197497612438,42466992318993.33,8516281583.384956
21,4985.8299194710025,0.7350479006981914,0.0001474273917422719,0.0001474382602285293,4985.462395520653,42466992314007.13,8517537300.693339
22,4985.094871570304,0.73493953450361,0.00014742739174231686,0.0001474382602285293,4984.727401803053,42466992309021.67,8518793203.156147
23,4984.359932035801,0.7348311842852127,0.00014742739174236958,0.0001474382602285293,4983.992516443658,42466992304036.945,8520049290.800679
24,4983.6251008515155,0.0,0.0,0.0,4983.6251008515155,42466992299052.95,8521305563.6542425
25,4983.6251008515155,2.0070982817060212,0.0004027386171891387,0.0004028197381671702,4982.621551710663,42466992294069.33,8521305562.6542425
