year,sex,AlcoholUseDisorder,Asthma,BreastCancer,COPD,CardiovascularDiseases,CervicalCancer,ChronicKidneyDisease,ChronicLiverDisease,ColorectalCancer,InterpersonalViolence,LungCancer,MajorDepressiveDisorder,ProstateCancer,RoadInjuries,Type1Diabetes,Type2Diabetes
1998,Male,0.02725442,0.072039983,3.49e-05,0.008440145,0.036111273,,0.042169953,0.191493338,0.000195434,0.037535141,0.000131547,0.018235466,0.000400196,0.019913166,0.002038055,0.014361159
1999,Both,0.015626397,0.069232114,0.00048902,0.008219295,0.037493953,0.000463022,0.046443971,0.182295549,0.000172506,0.036522081,8.66e-05,0.0227698,0.000195754,0.014407303,0.002027951,0.016591069
1999,Female,0.004585567,0.06682127,0.00089127,0.007912304,0.038361748,0.000874916,0.04959786,0.173389884,0.000143095,0.035765102,3.89e-05,0.026541497,0.0,0.008647594,0.002002603,0.017872803
1999,Male,0.028037972,0.071942482,3.68e-05,0.008564504,0.036518738,,0.042898734,0.192307901,0.000205572,0.037373176,0.000140334,0.018530025,0.000415807,0.020882199,0.002056467,0.01515022
2000,Both,0.01589023,0.068826935,0.000523883,0.008298315,0.037813586,0.00053276,0.047065046,0.183198155,0.000184958,0.036601368,9.3e-05,0.023072192,0.000204173,0.014913332,0.002041509,0.017372556
2000,Female,0.004630997,0.066202076,0.000954067,0.007965539,0.038654996,0.001005691,0.050184434,0.174055184,0.000155611,0.035820118,4.22e-05,0.026853254,0.0,0.00880263,0.002015088,0.018703651
2000,Male,0.028574205,0.071784092,3.93e-05,0.008673325,0.0368661,,0.043551179,0.193499226,0.000218022,0.037481618,0.000150305,0.018812882,0.000434174,0.021797406,0.002071301,0.015873025
2001,Both,0.016037662,0.068469166,0.000550739,0.008369131,0.038088886,0.000584572,0.047618415,0.183696935,0.000195417,0.036835136,0.000100453,0.023401037,0.000212792,0.015436627,0.002050127,0.018092793
2001,Female,0.004663734,0.065671706,0.001001894,0.008020282,0.038923292,0.001102723,0.050702261,0.17444803,0.000164188,0.035897783,4.55e-05,0.027188422,0.0,0.008960249,0.002022439,0.019492567
2001,Male,0.028870176,0.071625586,4.17e-05,0.008762842,0.037147897,,0.044139402,0.194132923,0.000230655,0.037892846,0.000162499,0.019128229,0.000452861,0.022743617,0.002081393,0.016513561
2002,Both,0.016144688,0.068135229,0.000582843,0.008434652,0.038351641,0.000655533,0.048167077,0.183229628,0.000207827,0.037156793,0.000107097,0.02377336,0.000219807,0.016008918,0.002055232,0.018799931
