age,sex,2020,2021,2022,2023,2024
94,Male,235440.0400651626,234888.5378140011,235287.68600480352,238073.0702535633,241691.08111367037
95,Female,268703.4811107174,268010.36637038353,268411.12494783057,270996.6030159855,274631.54573096306
95,Male,235440.0400651626,234888.5378140011,235287.68600480352,238073.0702535633,241691.08111367037
96,Female,268703.4811107174,268010.36637038353,268411.12494783057,270996.6030159855,274631.54573096306
96,Male,235440.0400651626,234888.5378140011,235287.68600480352,238073.0702535633,241691.08111367037
97,Female,268703.4811107174,268010.36637038353,268411.12494783057,270996.6030159855,274631.54573096306
97,Male,235440.0400651626,234888.5378140011,235287.68600480352,238073.0702535633,241691.08111367037
98,Female,268703.4811107174,268010.36637038353,268411.12494783057,270996.6030159855,274631.54573096306
98,Male,235440.0400651626,234888.5378140011,235287.68600480352,238073.0702535633,241691.08111367037
99,Female,268703.4811107174,268010.36637038353,268411.12494783057,270996.6030159855,274631.54573096306
99,Male,235440.0400651626,234888.5378140011,235287.68600480352,238073.0702535633,241691.08111367037
100,Female,268703.4811107174,268010.36637038353,268411.12494783057,270996.6030159855,274631.54573096306
100,Male,235440.0400651626,234888.5378140011,235287.68600480352,238073.0702535633,241691.08111367037
