Time,Sex,AgeGrpStart,mx
1999,Male,0,0.025941175
1999,Male,5,0.002734048
1999,Male,10,0.002264422
1999,Male,15,0.003938395
1999,Male,20,0.007029694
1999,Male,25,0.010627225
1999,Male,30,0.014876753
1999,Male,35,0.0198904
1999,Male,40,0.024124001
1999,Male,45,0.028739512
1999,Male,50,0.034037088
1999,Male,55,0.040231115
1999,Male,60,0.052410421
1999,Male,65,0.066094854
1999,Male,70,0.080600553
1999,Male,75,0.102564103
1999,Male,80,0.145893165
1999,Male,85,0.22556391
1999,Male,90,0.335403727
1999,Male,95,0.526315789
1999,Male,100,0.0
1999,Female,0,0.022185464
1999,Female,5,0.002319104
1999,Female,10,0.002015873
1999,Female,15,0.003662719
1999,Female,20,0.006667545
1999,Female,25,0.010750851
1999,Female,30,0.014468178
1999,Female,35,0.018117056
1999,Female,40,0.020514397
1999,Female,45,0.023485752
1999,Female,50,0.027209935
1999,Female,55,0.032206276
1999,Female,60,0.041663929
1999,Female,65,0.055855344
1999,Female,70,0.070440908
1999,Female,75,0.089248729
1999,Female,80,0.126484751
1999,Female,85,0.203748981
1999,Female,90,0.310231023
1999,Female,95,0.476190476
1999,Female,100,1.0
