age,value
0,31.987
1,31.096
2,30.477
3,29.406
4,27.986
5,26.832
6,25.837
7,24.838
8,23.880000000000003
9,22.963
10,22.057000000000002
11,21.139
12,20.179000000000002
13,19.247999999999998
14,18.405
15,17.618000000000002
16,16.851
17,16.083
18,15.309999999999999
19,14.535
20,13.82
21,13.262
22,12.822
23,12.358
24,11.827
25,11.269
26,10.733
27,10.234
28,9.788
29,9.398
30,9.067
31,8.799
32,8.585
33,8.411
34,8.271
35,8.152
36,8.029
37,7.808999999999999
38,7.232
39,6.718
40,6.462
41,6.13
42,5.784000000000001
43,5.452
44,5.146
45,4.86
46,4.593
47,4.353
48,4.148
49,3.947
50,3.7220000000000004
51,3.492
52,3.2880000000000003
53,3.1100000000000003
54,2.937
55,2.767
56,2.608
57,2.468
58,2.348
59,2.245
60,2.153
61,2.067
62,1.9899999999999998
63,1.916
64,1.846
65,1.785
66,1.72
67,1.658
68,1.587
69,1.5030000000000001
70,1.414
71,1.3170000000000002
72,1.221
73,1.1260000000000001
74,1.029
75,0.9369999999999999
76,0.8460000000000001
77,0.753
78,0.663
79,0.58
80,0.5
81,0.42600000000000005
82,0.356
83,0.294
84,0.238
85,0.188
86,0.147
87,0.113
88,0.087
89,0.066
90,0.05
91,0.036
92,0.025
93,0.017
94,0.012
95,0.008
96,0.005
97,0.003
98,0.002
99,0.001
100,0.0
