AgeGrpStart,Sex,Time,mx
0,Female,2008.0,0.06893
0,Male,2008.0,0.08159
1,Female,2008.0,0.01276
1,Male,2008.0,0.01253
2,Female,2008.0,0.00805
2,Male,2008.0,0.0087
3,Female,2008.0,0.00524
3,Male,2008.0,0.00598
4,Female,2008.0,0.00359
4,Male,2008.0,0.00437
5,Female,2008.0,0.00263
5,Male,2008.0,0.00317
6,Female,2008.0,0.00221
6,Male,2008.0,0.00273
7,Female,2008.0,0.00201
7,Male,2008.0,0.00246
8,Female,2008.0,0.00185
8,Male,2008.0,0.00222
9,Female,2008.0,0.00179
9,Male,2008.0,0.00203
10,Female,2008.0,0.00175
10,Male,2008.0,0.00198
11,Female,2008.0,0.00175
11,Male,2008.0,0.00205
12,Female,2008.0,0.00186
12,Male,2008.0,0.00214
13,Female,2008.0,0.0021
13,Male,2008.0,0.0023
14,Female,2008.0,0.00244
14,Male,2008.0,0.0026
15,Female,2008.0,0.00294
15,Male,2008.0,0.00305
16,Female,2008.0,0.00337
16,Male,2008.0,0.00348
17,Female,2008.0,0.00402
17,Male,2008.0,0.00418
18,Female,2008.0,0.00475
18,Male,2008.0,0.00489
19,Female,2008.0,0.00552
19,Male,2008.0,0.00552
20,Female,2008.0,0.00642
20,Male,2008.0,0.0063
21,Female,2008.0,0.00714
21,Male,2008.0,0.00713
22,Female,2008.0,0.00824
22,Male,2008.0,0.00806
23,Female,2008.0,0.00938
23,Male,2008.0,0.00902
24,Female,2008.0,0.01057
24,Male,2008.0,0.01001
25,Female,2008.0,0.0119
25,Male,2008.0,0.01115
26,Female,2008.0,0.01332
26,Male,2008.0,0.01219
27,Female,2008.0,0.01472
27,Male,2008.0,0.01346
28,Female,2008.0,0.01583
28,Male,2008.0,0.01468
29,Female,2008.0,0.01723
29,Male,2008.0,0.01589
30,Female,2008.0,0.0182
30,Male,2008.0,0.01736
31,Female,2008.0,0.01921
31,Male,2008.0,0.01855
32,Female,2008.0,0.02037
32,Male,2008.0,0.01995
33,Female,2008.0,0.0214
33,Male,2008.0,0.02142
34,Female,2008.0,0.02256
34,Male,2008.0,0.02309
35,Female,2008.0,0.02398
35,Male,2008.0,0.02475
36,Female,2008.0,0.02483
36,Male,2008.0,0.02621
37,Female,2008.0,0.02573
37,Male,2008.0,0.02778
38,Female,2008.0,0.02628
38,Male,2008.0,0.02896
39,Female,2008.0,0.02691
39,Male,2008.0,0.03013
40,Female,2008.0,0.0272
40,Male,2008.0,0.03143
41,Female,2008.0,0.02792
41,Male,2008.0,0.03219
42,Female,2008.0,0.02768
42,Male,2008.0,0.03296
43,Female,2008.0,0.02826
43,Male,2008.0,0.03391
44,Female,2008.0,0.02876
44,Male,2008.0,0.03489
45,Female,2008.0,0.02937
45,Male,2008.0,0.03595
46,Female,2008.0,0.03006
46,Male,2008.0,0.03694
47,Female,2008.0,0.0308
47,Male,2008.0,0.03792
48,Female,2008.0,0.03145
48,Male,2008.0,0.03901
49,Female,2008.0,0.03231
49,Male,2008.0,0.03996
50,Female,2008.0,0.03279
50,Male,2008.0,0.04138
51,Female,2008.0,0.03376
51,Male,2008.0,0.04203
52,Female,2008.0,0.03408
52,Male,2008.0,0.04286
53,Female,2008.0,0.03485
53,Male,2008.0,0.04359
54,Female,2008.0,0.03558
54,Male,2008.0,0.04448
55,Female,2008.0,0.03665
55,Male,2008.0,0.04584
56,Female,2008.0,0.03763
56,Male,2008.0,0.04664
57,Female,2008.0,0.03892
57,Male,2008.0,0.04808
58,Female,2008.0,0.04006
58,Male,2008.0,0.0498
59,Female,2008.0,0.04173
59,Male,2008.0,0.05199
60,Female,2008.0,0.04297
60,Male,2008.0,0.05535
61,Female,2008.0,0.04564
61,Male,2008.0,0.05765
62,Female,2008.0,0.04756
62,Male,2008.0,0.06065
63,Female,2008.0,0.05034
63,Male,2008.0,0.06347
64,Female,2008.0,0.05339
64,Male,2008.0,0.06656
65,Female,2008.0,0.0568
65,Male,2008.0,0.06977
66,Female,2008.0,0.05846
66,Male,2008.0,0.07071
67,Female,2008.0,0.05998
67,Male,2008.0,0.07151
68,Female,2008.0,0.06152
68,Male,2008.0,0.07264
69,Female,2008.0,0.06363
69,Male,2008.0,0.07402
70,Female,2008.0,0.06515
70,Male,2008.0,0.07659
71,Female,2008.0,0.06774
71,Male,2008.0,0.07793
72,Female,2008.0,0.06986
72,Male,2008.0,0.08049
73,Female,2008.0,0.07227
73,Male,2008.0,0.08263
74,Female,2008.0,0.07478
74,Male,2008.0,0.08504
75,Female,2008.0,0.07731
75,Male,2008.0,0.08784
76,Female,2008.0,0.07988
76,Male,2008.0,0.09062
77,Female,2008.0,0.0823
77,Male,2008.0,0.09378
78,Female,2008.0,0.08546
78,Male,2008.0,0.09815
79,Female,2008.0,0.08793
79,Male,2008.0,0.10212
80,Female,2008.0,0.09215
80,Male,2008.0,0.1078
81,Female,2008.0,0.09985
81,Male,2008.0,0.11656
82,Female,2008.0,0.11198
82,Male,2008.0,0.12898
83,Female,2008.0,0.12358
83,Male,2008.0,0.14091
84,Female,2008.0,0.13687
84,Male,2008.0,0.15462
85,Female,2008.0,0.15008
85,Male,2008.0,0.16774
86,Female,2008.0,0.16511
86,Male,2008.0,0.18302
87,Female,2008.0,0.17968
87,Male,2008.0,0.19829
88,Female,2008.0,0.19588
88,Male,2008.0,0.2147
89,Female,2008.0,0.21251
89,Male,2008.0,0.23164
90,Female,2008.0,0.23316
90,Male,2008.0,0.25124
91,Female,2008.0,0.24875
91,Male,2008.0,0.26874
92,Female,2008.0,0.27157
92,Male,2008.0,0.29127
93,Female,2008.0,0.29338
93,Male,2008.0,0.31294
94,Female,2008.0,0.31701
94,Male,2008.0,0.33564
95,Female,2008.0,0.34272
95,Male,2008.0,0.35869
96,Female,2008.0,0.36716
96,Male,2008.0,0.38165
97,Female,2008.0,0.39117
97,Male,2008.0,0.40416
98,Female,2008.0,0.41452
98,Male,2008.0,0.42608
99,Female,2008.0,0.44506
99,Male,2008.0,0.45337
100,Female,2008.0,0.5089
100,Male,2008.0,0.51099
