Age,Year,HIV_male,HIV_female
75,2013,,
80,2013,,
0,2014,,
15,2014,,
20,2014,,
25,2014,,
30,2014,,
35,2014,,
40,2014,,
45,2014,,
50,2014,,
55,2014,,
60,2014,,
65,2014,,
70,2014,,
75,2014,,
80,2014,,
0,2015,,
15,2015,,
20,2015,,
25,2015,,
30,2015,,
35,2015,,
40,2015,,
45,2015,,
50,2015,,
55,2015,,
60,2015,,
65,2015,,
70,2015,,
75,2015,,
80,2015,,
0,2016,,
15,2016,,
20,2016,,
25,2016,,
30,2016,,
35,2016,,
40,2016,,
45,2016,,
50,2016,,
55,2016,,
60,2016,,
65,2016,,
70,2016,,
75,2016,,
80,2016,,
0,2017,0,0
15,2017,0.039203323,0.071699336
20,2017,0.042302217,0.208942316
25,2017,0.132586775,0.374644094
30,2017,0.281448958,0.506826329
35,2017,0.419039192,0.542306801
40,2017,0.432948219,0.51927347
45,2017,0.487936995,0.423031977
50,2017,0.418901763,0.361306241
55,2017,0.3178861,0.295168377
60,2017,0.319024067,0.222713574
65,2017,0.187721072,0.103696162
70,2017,0.16612866,0.089371202
75,2017,0.096966056,0.068701597
80,2017,0.068853558,0.007520089
0,2018,,
15,2018,,
20,2018,,
25,2018,,
30,2018,,
35,2018,,
40,2018,,
45,2018,,
50,2018,,
55,2018,,
60,2018,,
65,2018,,
70,2018,,
75,2018,,
80,2018,,
0,2019,,
15,2019,,
20,2019,,
25,2019,,
30,2019,,
35,2019,,
40,2019,,
45,2019,,
50,2019,,
55,2019,,
60,2019,,
65,2019,,
70,2019,,
75,2019,,
80,2019,,
0,2020,,
15,2020,,
20,2020,,
25,2020,,
30,2020,,
35,2020,,
40,2020,,
45,2020,,
50,2020,,
55,2020,,
60,2020,,
65,2020,,
70,2020,,
75,2020,,
80,2020,,
0,2021,0,0
15,2021,0.030000309,0.055804134
20,2021,0.038736453,0.171564278
25,2021,0.054007305,0.302792519
30,2021,0.191607831,0.424996426
35,2021,0.269162468,0.524670263
40,2021,0.385042512,0.571575379
45,2021,0.500416774,0.501290462
50,2021,0.491644241,0.434566888
55,2021,0.365130888,0.338405273
60,2021,0.304484761,0.209545631
65,2021,0.28581627,0.206725899
70,2021,0.184053384,0.166034939
75,2021,0.160302675,0.122658891
80,2021,0.097665658,0.047519148
