Age,Year,HIV_male,HIV_female,Obesity_male,Obesity_female,Hypertension_male,Hypertension_female,AlcoholUseDisorder_female,AlzheimersDisease_female,Asthma_female,BreastCancer_female,COPD_female,CervicalCancer_female,CervicalCancer_male,ChronicKidneyDisease_female,ChronicLiverDisease_female,ColorectalCancer_female,Depression_female,CardiovascularDiseases_female,LungCancer_female,ParkinsonsDisease_female,ProstateCancer_female,RoadInjuries_female,Transportinjuries_female,Type1Diabetes_female,Type2Diabetes_female,AlcoholUseDisorder_male,AlzheimersDisease_male,Asthma_male,BreastCancer_male,COPD_male,ChronicKidneyDisease_male,ChronicLiverDisease_male,ColorectalCancer_male,Depression_male,CardiovascularDiseases_male,LungCancer_male,ParkinsonsDisease_male,ProstateCancer_male,RoadInjuries_male,Transportinjuries_male,Type1Diabetes_male,Type2Diabetes_male,Hyperlipidemia_male,Hyperlipidemia_female,TobaccoUse_male,TobaccoUse_female,HIVAssociatedDementia_male,HIVAssociatedDementia_female,PTSD_male,PTSD_female,HPV_male,HPV_female,Flu_male,Flu_female,ViralHepatitis_male,ViralHepatitis_female,DomesticViolence_male,DomesticViolence_female
0,1987,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1987,0.29777765,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1987,0.272634041,0.3503177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1987,0.186320267,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1987,0.054916197,0.037321887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1987,0.040784775,0.029063244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1987,0.03401066,0.017996397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1987,0.031925407,0.029590384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1987,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1987,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1987,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1987,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1990,,,,,,,0.010560856,0,0.069033685,0.001109807,0.008782822,0.002006458,,0.085054135,0.296669806,0.000107654,0.046854794,0.003032034,1.94E-05,6.55E-05,0,0.014809792,0.015919788,0.003157058,0.015844681,0.069088676,0,0.039667291,2.67E-05,0.008964584,0.079831543,0.342851207,0.000134623,0.032668576,0.004776965,5.32E-05,0.000132862,3.17E-05,0.031169284,0.031828089,0.003206537,0.014630797,,,,,,,,,,,,,,,,
40,1990,,,,,,,0.010079318,0.000181548,0.08140152,0.00206264,0.011496915,0.002697311,,0.098231604,0.323461423,0.000171087,0.052199106,0.006413852,3.19E-05,0.000121546,0,0.017972463,0.019216053,0.003528933,0.022455252,0.074350897,0.000160831,0.050944513,4.87E-05,0.012103512,0.093294723,0.373902434,0.000228619,0.03587391,0.010255003,0.000117914,0.000241145,7.02E-05,0.039265371,0.040022845,0.003425599,0.019738317,,,,,,,,,,,,,,,,
45,1990,,,,,,,0.008756896,0.001171121,0.089063858,0.003003444,0.017809265,0.002986609,,0.11989211,0.345216804,0.000308194,0.054545303,0.012954041,7.50E-05,0.000219595,0,0.021190917,0.022561253,0.003843434,0.032803697,0.07915095,0.001032698,0.061708037,8.21E-05,0.020919996,0.114031992,0.403692799,0.000432712,0.039101122,0.020555713,0.000322037,0.000420682,0.00028377,0.047751922,0.0486122,0.003600425,0.027290353,,,,,,,,,,,,,,,,
50,1990,,,,,,,0.007432604,0.002881155,0.093184213,0.003990307,0.02837561,0.003027873,,0.142274075,0.349120031,0.0005448,0.056745743,0.024208729,0.00015653,0.000369814,0,0.02512181,0.026592469,0.00408502,0.04732637,0.079253386,0.00247891,0.072782582,0.000148826,0.035476679,0.134946671,0.415030647,0.000806303,0.042309492,0.037562131,0.000653729,0.000672281,0.001032792,0.056959138,0.057896324,0.003723176,0.038501972,,,,,,,,,,,,,,,,
55,1990,,,,,,,0.006585841,0.005696524,0.100071242,0.004936825,0.041481438,0.002877018,,0.172852557,0.36210381,0.000820371,0.0589181,0.04129815,0.000242233,0.000602369,0,0.028589523,0.030164963,0.00425906,0.067307651,0.066072607,0.004653861,0.087807086,0.000217739,0.051125503,0.165347619,0.432377718,0.00121143,0.045509216,0.062308798,0.001075089,0.000999993,0.002438399,0.064769237,0.065785103,0.00377568,0.057849083,,,,,,,,,,,,,,,,
60,1990,,,,,,,0.005964391,0.010821207,0.108183039,0.005318818,0.055390593,0.002363169,,0.218248558,0.377024516,0.001028434,0.062158431,0.064608467,0.000308364,0.000986978,0,0.03181264,0.033474165,0.004321689,0.089804565,0.050622396,0.008162582,0.106076032,0.000241353,0.067012512,0.21336822,0.461090297,0.001541505,0.048496754,0.095001081,0.001224717,0.00155243,0.005297057,0.071093187,0.072169346,0.003715626,0.081788201,,,,,,,,,,,,,,,,
65,1990,,,,,,,0.005744987,0.02016113,0.109660762,0.006109319,0.070446088,0.002006219,,0.275038684,0.3973519,0.001341335,0.067110191,0.102260222,0.000375752,0.00176658,0,0.034425123,0.036203464,0.00412746,0.107272467,0.040410125,0.013881657,0.125574188,0.00034046,0.089002249,0.275789847,0.503928935,0.002069909,0.051078159,0.144934362,0.001489829,0.002881738,0.007981664,0.075535666,0.076693955,0.00341776,0.101445635,,,,,,,,,,,,,,,,
70,1990,,,,,,,0.00639167,0.037475656,0.105267011,0.006686001,0.087391543,0.001515954,,0.34565316,0.425321546,0.001610786,0.072031475,0.136439484,0.000399887,0.003090397,0,0.037074028,0.038964329,0.003698698,0.123898733,0.033395904,0.024498498,0.141256415,0.000379437,0.115665163,0.349721255,0.536111059,0.002271841,0.05362293,0.188875741,0.001488233,0.005099585,0.010009906,0.079405022,0.08063827,0.002932024,0.12119187,,,,,,,,,,,,,,,,
75,1990,,,,,,,0.009221043,0.069454284,0.099816491,0.006838352,0.106719478,0.00112004,,0.432379645,0.452981662,0.001823234,0.076876613,0.169403007,0.000378931,0.00523167,0,0.039765708,0.041788027,0.003145446,0.160079292,0.032995166,0.04529581,0.138674268,0.000418853,0.141796746,0.43120754,0.561672187,0.002356462,0.056153437,0.226492206,0.001218861,0.008205238,0.010682854,0.082885984,0.084215716,0.002391074,0.162208443,,,,,,,,,,,,,,,,
80,1990,,,,,,,0.012496325,0.153878952,0.097550281,0.007375597,0.139533333,0.000697789,,0.560030237,0.426860961,0.001702789,0.082961444,0.198144054,0.000301392,0.007596224,0,0.043002291,0.045323306,0.002466479,0.196884836,0.031346419,0.096323082,0.118843247,0.000502082,0.183346749,0.527807734,0.531959156,0.002032971,0.061876297,0.247806006,0.000945855,0.010975958,0.010469807,0.087258144,0.088780024,0.001841966,0.204555078,,,,,,,,,,,,,,,,
0,1991,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
15,1991,,,,,,,0.002815784,0,0.071982243,1.24E-05,0.002769861,4.62E-05,,0.014990289,0.132464992,5.52E-06,0.025621456,6.51E-05,9.81E-07,0,0,0.004982399,0.005536022,0.001904335,0.003007891,0.010654561,0,0.061217577,2.20E-06,0.002765492,0.013677075,0.157421901,7.95E-06,0.019126604,6.74E-05,1.52E-06,0,0,0.007226895,0.007531079,0.002143057,0.0025842,,,,,,,,,,,,,,,,
20,1991,,,,,,,0.007024801,0,0.05384529,4.41E-05,0.003895806,0.000137251,,0.033560155,0.188494432,1.15E-05,0.035428081,0.000191338,1.38E-06,1.58E-06,0,0.006823648,0.007494803,0.002195637,0.005493772,0.035260713,0,0.030677214,2.25E-06,0.003968896,0.031113378,0.222987107,1.49E-05,0.028629386,0.000253537,1.81E-06,3.26E-06,4.44E-06,0.012530191,0.012919957,0.002439737,0.005281032,,,,,,,,,,,,,,,,
25,1991,,,,,,,0.009506885,0,0.050972843,0.0001999,0.005313164,0.000521047,,0.053313641,0.245623112,3.23E-05,0.036722576,0.000544762,4.40E-06,1.09E-05,0,0.009025087,0.009813696,0.002483695,0.008330442,0.054018577,0,0.025144366,7.58E-06,0.005458795,0.049509074,0.283259713,2.98E-05,0.028559201,0.000834469,5.76E-06,2.24E-05,6.06E-06,0.01844092,0.018915788,0.002703625,0.008191943,,,,,,,,,,,,,,,,
30,1991,,,,,,,0.010526094,0,0.056699684,0.000576986,0.006969353,0.001310129,,0.071770757,0.278065059,6.36E-05,0.039998005,0.001316811,1.07E-05,3.05E-05,0,0.011659602,0.012582969,0.002795289,0.011669895,0.063495256,0,0.030714105,1.35E-05,0.007162279,0.067096615,0.321551386,6.79E-05,0.029581456,0.002066151,1.91E-05,6.26E-05,1.04E-05,0.024924955,0.025494555,0.002955141,0.011308547,,,,,,,,,,,,,,,,
35,1991,,,,,,,0.010545893,0,0.066870591,0.001143967,0.008773157,0.002033016,,0.085076656,0.297137573,0.00010898,0.046984773,0.003040238,1.99E-05,6.51E-05,0,0.01445956,0.015509109,0.003147604,0.016367616,0.069317317,0,0.040088312,2.77E-05,0.008979669,0.080082073,0.343251637,0.000138945,0.032815,0.004786491,5.43E-05,0.00013284,3.32E-05,0.032077608,0.032738264,0.003199302,0.015305743,,,,,,,,,,,,,,,,
40,1991,,,,,,,0.010067644,0.000181548,0.078925859,0.002126207,0.011489131,0.002755809,,0.098151407,0.324186843,0.000174154,0.052265492,0.006432944,3.27E-05,0.000120738,0,0.017596293,0.018770095,0.003520149,0.023042562,0.074625805,0.000161163,0.051356795,5.01E-05,0.012107154,0.093559282,0.374436529,0.000234553,0.036146496,0.010275675,0.000119335,0.000243058,7.31E-05,0.040356995,0.041117771,0.0034232,0.020613741,,,,,,,,,,,,,,,,
45,1991,,,,,,,0.008744272,0.001170184,0.086735331,0.003074407,0.017790865,0.003054875,,0.119726068,0.345229617,0.000314464,0.054600976,0.012997248,7.70E-05,0.000218947,0,0.020804084,0.022096143,0.003833411,0.033512518,0.079430783,0.001030915,0.062158366,8.40E-05,0.020853711,0.11452067,0.404185057,0.00044248,0.039419791,0.020593078,0.000324487,0.000425063,0.000295007,0.048945227,0.049811265,0.003599529,0.028434865,,,,,,,,,,,,,,,,
50,1991,,,,,,,0.007416043,0.002875139,0.091307654,0.00405798,0.028291847,0.003079373,,0.142122265,0.348508073,0.000554556,0.056811606,0.024300328,0.000160432,0.000369549,0,0.024713084,0.026099125,0.004072141,0.048316063,0.079368464,0.002464211,0.073158679,0.000151892,0.03535176,0.135622248,0.415521632,0.000819427,0.042641545,0.037633755,0.000656405,0.000680018,0.001069997,0.058283336,0.059227125,0.00372082,0.040042588,,,,,,,,,,,,,,,,
55,1991,,,,,,,0.006535895,0.005680565,0.09809454,0.004990509,0.041265163,0.002926774,,0.172631919,0.362038355,0.000836021,0.058999835,0.04147935,0.000248164,0.00060178,0,0.028221482,0.029706285,0.004249195,0.069071124,0.065815275,0.00463043,0.087446948,0.00022173,0.050955589,0.165818817,0.433938167,0.001231252,0.045856901,0.062488093,0.001077339,0.001014921,0.002525352,0.06614089,0.067164179,0.003774716,0.060144494,,,,,,,,,,,,,,,,
60,1991,,,,,,,0.005891984,0.010793602,0.105723606,0.005355964,0.055013975,0.002393622,,0.217848682,0.37742647,0.001047157,0.062244112,0.064919418,0.000315065,0.000985794,0,0.031440487,0.033006886,0.004319576,0.092619704,0.049742313,0.00813346,0.10450278,0.000246053,0.066836931,0.213877534,0.462649461,0.001565088,0.048775611,0.09531837,0.00122623,0.001580876,0.005456832,0.07245075,0.073533823,0.003718516,0.084944321,,,,,,,,,,,,,,,,
65,1991,,,,,,,0.005694679,0.020102225,0.107211361,0.006127996,0.069925424,0.002032343,,0.274347991,0.39851097,0.001365414,0.067232635,0.102688124,0.000385354,0.001766891,0,0.034051304,0.035728622,0.004129835,0.110602239,0.039552773,0.013833287,0.123135462,0.000346879,0.088908492,0.276241143,0.504657349,0.002097256,0.05120029,0.145401262,0.001491114,0.002940006,0.008212841,0.076820131,0.077983978,0.003421855,0.104682446,,,,,,,,,,,,,,,,
70,1991,,,,,,,0.006366307,0.037352191,0.103298816,0.006669076,0.086716165,0.001537798,,0.344224565,0.42613391,0.001643193,0.072331379,0.136921356,0.000411314,0.003097254,0,0.036711249,0.038495142,0.00370592,0.127230129,0.032763135,0.02442872,0.138628988,0.000384878,0.115567054,0.350408339,0.536436228,0.002309597,0.053667224,0.189549934,0.001492571,0.005183542,0.010290432,0.080621345,0.081858496,0.002933814,0.123961426,,,,,,,,,,,,,,,,
75,1991,,,,,,,0.009199762,0.069232977,0.098348912,0.006784762,0.1059108,0.001137655,,0.430203667,0.45357021,0.001863879,0.077444317,0.170032595,0.000391178,0.005259561,0,0.03940367,0.041313033,0.003169841,0.163323925,0.032784931,0.045163628,0.136489177,0.000424609,0.141703434,0.431798532,0.563099349,0.002396705,0.056163861,0.227690004,0.001229163,0.008221999,0.010930077,0.08407097,0.085402405,0.002393023,0.16492839,,,,,,,,,,,,,,,,
80,1991,,,,,,,0.012496113,0.153258962,0.096651976,0.007277864,0.138733674,0.000708458,,0.558462301,0.428326994,0.001731233,0.083425599,0.199180686,0.000311551,0.007636798,0,0.04266583,0.044858584,0.002513579,0.199588203,0.031289223,0.096084074,0.117637508,0.000507418,0.183021624,0.527969522,0.533075334,0.00206099,0.061852281,0.249805201,0.000956447,0.010889089,0.010636757,0.08836916,0.089888923,0.00184771,0.207281031,,,,,,,,,,,,,,,,
0,1992,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
15,1992,,,,,,,0.002818892,0,0.070277438,1.29E-05,0.002760865,4.63E-05,,0.015026445,0.131406375,5.57E-06,0.025866963,6.53E-05,1.00E-06,0,0,0.004824953,0.005356846,0.001902523,0.003175637,0.01065801,0,0.061255668,2.24E-06,0.002768397,0.013687925,0.157227579,8.06E-06,0.019165195,6.75E-05,1.53E-06,0,0,0.007224712,0.007525355,0.002143258,0.002802773,,,,,,,,,,,,,,,,
20,1992,,,,,,,0.00701794,0,0.052297078,4.53E-05,0.003883727,0.00013804,,0.033622219,0.187767666,1.16E-05,0.035831221,0.000192076,1.40E-06,1.58E-06,0,0.006644803,0.007287541,0.002190798,0.005754205,0.035312847,0,0.031160153,2.31E-06,0.003973591,0.031154046,0.223189326,1.53E-05,0.028913287,0.000254398,1.83E-06,3.21E-06,4.64E-06,0.012728175,0.013116771,0.002437452,0.005639923,,,,,,,,,,,,,,,,
25,1992,,,,,,,0.009495199,0,0.049412156,0.000204903,0.005298362,0.000521382,,0.053356433,0.245390122,3.23E-05,0.036978866,0.000546758,4.48E-06,1.08E-05,0,0.008814637,0.009567632,0.00247583,0.008696978,0.05419572,0,0.025684382,7.79E-06,0.005468537,0.049687283,0.28354383,3.05E-05,0.028646415,0.000837417,5.83E-06,2.20E-05,6.33E-06,0.018911717,0.019387938,0.002699765,0.008655201,,,,,,,,,,,,,,,,
30,1992,,,,,,,0.010514609,0,0.055024229,0.000588641,0.00695345,0.001305727,,0.071842165,0.278326002,6.36E-05,0.040158144,0.001321364,1.08E-05,3.04E-05,0,0.011412548,0.012291957,0.002785927,0.012136173,0.063743889,0,0.031258262,1.39E-05,0.00717838,0.067318618,0.322188037,6.93E-05,0.029601726,0.002073064,1.94E-05,6.20E-05,1.08E-05,0.025702495,0.02627462,0.002947903,0.011859299,,,,,,,,,,,,,,,,
35,1992,,,,,,,0.01053927,0,0.064910496,0.001165143,0.008758745,0.002030443,,0.085125263,0.297595405,0.000108872,0.047116251,0.003050323,2.01E-05,6.47E-05,0,0.014180308,0.015178328,0.003137964,0.016932245,0.069652852,0,0.040629492,2.82E-05,0.008997225,0.08033048,0.343722944,0.000141113,0.032919695,0.004802592,5.47E-05,0.000132767,3.43E-05,0.033131104,0.033795558,0.003192883,0.015991691,,,,,,,,,,,,,,,,
40,1992,,,,,,,0.010063674,0.000181598,0.076680548,0.002169149,0.011474523,0.002771523,,0.098116927,0.324903378,0.000174833,0.052385636,0.006455926,3.32E-05,0.0001201,0,0.017303727,0.018418094,0.003510793,0.023731359,0.075034127,0.000161354,0.051903284,5.10E-05,0.012114224,0.093828066,0.375047431,0.000237643,0.036335346,0.010308444,0.000119372,0.000244589,7.55E-05,0.041629761,0.042396467,0.003421222,0.021500606,,,,,,,,,,,,,,,,
