Time,Sex,AgeGrpStart,mx
2007,Male,0,0.0258821510826024
2007,Male,5,0.0027361690840813
2007,Male,10,0.0023854826342543
2007,Male,15,0.0044455421091627
2007,Male,20,0.0086527743666282
2007,Male,25,0.014546819642899
2007,Male,30,0.0217475607675244
2007,Male,35,0.0300778142161333
2007,Male,40,0.0356614420062696
2007,Male,45,0.0404634908957145
2007,Male,50,0.0450155881682001
2007,Male,55,0.0504731861198738
2007,Male,60,0.0628725607077869
2007,Male,65,0.0749279538904899
2007,Male,70,0.0837390457643622
2007,Male,75,0.0989978742787731
2007,Male,80,0.1361372440509131
2007,Male,85,0.2116402116402116
2007,Male,90,0.3127962085308057
2007,Male,95,0.5333333333333332
2007,Male,100,2.0
2007,Female,0,0.0224286573548085
2007,Female,5,0.0023556473180262
2007,Female,10,0.0022167973398431
2007,Female,15,0.0044040972311014
2007,Female,20,0.0085243671962106
2007,Female,25,0.0142608590709321
2007,Female,30,0.0197065654889853
2007,Female,35,0.0247913511990703
2007,Female,40,0.0275007872362758
2007,Female,45,0.0306869227275021
2007,Female,50,0.0347599826533675
2007,Female,55,0.0404057339257272
2007,Female,60,0.0500980566945979
2007,Female,65,0.0645495116745359
2007,Female,70,0.0752095808383233
2007,Female,75,0.0884244372990353
2007,Female,80,0.1174992145774426
2007,Female,85,0.1921802518223989
2007,Female,90,0.3027522935779816
2007,Female,95,0.4705882352941175
2007,Female,100,1.0
