condition,p_acquire
Type2Diabetes,0.0038219464091501804
Type1Diabetes,0.00013108952411707575
Type2Diabetes,0.0038219464091501804
Hypertension,0.06967727164122638
Obesity,0.06967727164122638
CardiovascularDiseases,0.0019440060464821912
ChronicKidneyDisease,0.0062964729156904185
Hyperlipidemia,0.06967727164122638
CervicalCancer,0.00010716943265758907
ColorectalCancer,0.00011424344538261277
BreastCancer,0.00010256033848237447
