Time,Sex,Age,mx
1999,Female,55,0.005906499
1999,Female,60,0.009365297
1999,Female,65,0.014786539
1999,Female,70,0.022736372
1999,Female,75,0.036031574
1999,Female,0,0.005903471
1999,Female,80,0.060830669
1999,Female,85,0.10506249
1999,Female,90,0.175698438
1999,Female,2,0.000205147
1999,Female,95,0.283801926
2000,Female,5,0.000116491
2000,Female,10,0.000123917
2000,Female,15,0.000280352
2000,Female,20,0.000360553
2000,Female,25,0.000442234
2000,Female,30,0.000655101
2000,Female,35,0.001069339
2000,Female,40,0.001622184
2000,Female,45,0.002436506
2000,Female,50,0.003630091
2000,Female,55,0.005826406
2000,Female,60,0.009195248
2000,Female,65,0.01456694
2000,Female,70,0.022142941
2000,Female,75,0.035314145
2000,Female,0,0.005700775
2000,Female,80,0.059629654
2000,Female,85,0.103900817
2000,Female,90,0.174297253
2000,Female,2,0.000192231
2000,Female,95,0.282242657
2001,Female,5,0.000114437
2001,Female,10,0.000122758
2001,Female,15,0.000282526
2001,Female,20,0.000412854
2001,Female,25,0.000549404
2001,Female,30,0.000775239
2001,Female,35,0.001187804
2001,Female,40,0.001738017
2001,Female,45,0.002571716
2001,Female,50,0.003707907
2001,Female,55,0.005852865
2001,Female,60,0.009044799
2001,Female,65,0.014241609
2001,Female,70,0.021690595
2001,Female,75,0.034685639
2001,Female,0,0.005594867
2001,Female,80,0.058754123
2001,Female,85,0.103339108
2001,Female,90,0.173329319
2001,Female,2,0.000192493
2001,Female,95,0.281283867
2002,Female,5,0.000111212
2002,Female,10,0.000124045
2002,Female,15,0.00027739
2002,Female,20,0.00036559
2002,Female,25,0.000445979
2002,Female,30,0.00063704
2002,Female,35,0.001093354
2002,Female,40,0.001669435
2002,Female,45,0.002518878
2002,Female,50,0.003651666
2002,Female,55,0.00561837
2002,Female,60,0.008767781
2002,Female,65,0.013894321
2002,Female,70,0.021619347
2002,Female,75,0.03451451
2002,Female,0,0.005592193
2002,Female,80,0.058241164
2002,Female,85,0.102889481
2002,Female,90,0.172713609
2002,Female,2,0.000180139
2002,Female,95,0.280747094
2003,Female,5,0.000111887
2003,Female,10,0.000123665
2003,Female,15,0.000278466
2003,Female,20,0.000362259
2003,Female,25,0.000434132
2003,Female,30,0.000604998
2003,Female,35,0.001042121
2003,Female,40,0.001623058
2003,Female,45,0.002462101
2003,Female,50,0.003622852
2003,Female,55,0.005482819
2003,Female,60,0.008641725
2003,Female,65,0.013523527
2003,Female,70,0.021378643
2003,Female,75,0.033912175
2003,Female,0,0.005538883
2003,Female,80,0.05720006
2003,Female,85,0.102280297
2003,Female,90,0.17108462
2003,Female,2,0.000177752
2003,Female,95,0.279228637
2004,Female,5,0.00010977
2004,Female,10,0.000121671
2004,Female,15,0.000267299
2004,Female,20,0.000350891
2004,Female,25,0.000412736
2004,Female,30,0.000569766
2004,Female,35,0.000972044
2004,Female,40,0.00155031
2004,Female,45,0.002361189
2004,Female,50,0.003537104
2004,Female,55,0.005294998
2004,Female,60,0.008349939
2004,Female,65,0.012979243
2004,Female,70,0.02077848
2004,Female,75,0.032760717
2004,Female,0,0.005428963
2004,Female,80,0.055759897
2004,Female,85,0.099401669
2004,Female,90,0.16936432
2004,Female,2,0.000171212
2004,Female,95,0.277743554
2005,Female,5,0.00010787
2005,Female,10,0.000117635
2005,Female,15,0.000258884
2005,Female,20,0.000344464
2005,Female,25,0.000401523
2005,Female,30,0.00055469
2005,Female,35,0.000935504
2005,Female,40,0.001514348
2005,Female,45,0.002298559
2005,Female,50,0.00349365
2005,Female,55,0.005169784
2005,Female,60,0.0081822
2005,Female,65,0.012661491
2005,Female,70,0.020580558
2005,Female,75,0.032352374
2005,Female,0,0.00537399
2005,Female,80,0.054915644
2005,Female,85,0.099247218
2005,Female,90,0.167768231
2005,Female,2,0.000168877
2005,Female,95,0.276372648
2006,Female,5,0.000105375
2006,Female,10,0.00011262
2006,Female,15,0.000250018
2006,Female,20,0.000343881
2006,Female,25,0.000399703
2006,Female,30,0.000542366
2006,Female,35,0.000897711
2006,Female,40,0.001469682
2006,Female,45,0.002237751
2006,Female,50,0.003392774
2006,Female,55,0.005011992
2006,Female,60,0.007879986
2006,Female,65,0.012079055
2006,Female,70,0.019684544
2006,Female,75,0.030986004
2006,Female,0,0.005331727
2006,Female,80,0.052085877
2006,Female,85,0.093806142
2006,Female,90,0.165695372
2006,Female,2,0.000169142
2006,Female,95,0.274503082
2007,Female,5,0.000103032
2007,Female,10,0.000110695
2007,Female,15,0.000241079
2007,Female,20,0.000343698
2007,Female,25,0.000400029
2007,Female,30,0.000531868
2007,Female,35,0.00085565
2007,Female,40,0.001421943
2007,Female,45,0.002208367
2007,Female,50,0.003314037
2007,Female,55,0.004886402
2007,Female,60,0.007600873
2007,Female,65,0.011806666
2007,Female,70,0.019153014
2007,Female,75,0.030553566
2007,Female,0,0.005299482
2007,Female,80,0.05102421
2007,Female,85,0.091089392
2007,Female,90,0.164032732
2007,Female,2,0.000171376
2007,Female,95,0.273145922
2008,Female,5,9.94872E-05
2008,Female,10,0.000107387
2008,Female,15,0.000229636
2008,Female,20,0.000339182
2008,Female,25,0.000396573
2008,Female,30,0.000522145
2008,Female,35,0.000821808
2008,Female,40,0.001389249
2008,Female,45,0.00221294
2008,Female,50,0.003257282
2008,Female,55,0.004793986
2008,Female,60,0.007477139
2008,Female,65,0.011757034
2008,Female,70,0.019012999
2008,Female,75,0.030667309
2008,Female,0,0.005190104
2008,Female,80,0.050931415
2008,Female,85,0.091865243
2008,Female,90,0.16279139
2008,Female,2,0.000168
2008,Female,95,0.271959006
2009,Female,5,9.64258E-05
2009,Female,10,0.000106878
2009,Female,15,0.00022403
2009,Female,20,0.000339108
2009,Female,25,0.000399846
2009,Female,30,0.000528463
2009,Female,35,0.000806158
2009,Female,40,0.001353098
2009,Female,45,0.002207189
2009,Female,50,0.003240929
2009,Female,55,0.004718927
2009,Female,60,0.007272967
2009,Female,65,0.011445294
2009,Female,70,0.018144057
2009,Female,75,0.02943926
2009,Female,0,0.005023008
2009,Female,80,0.048761044
2009,Female,85,0.08807648
2009,Female,90,0.161291014
2009,Female,2,0.000163404
2009,Female,95,0.270796493
2010,Female,5,9.15928E-05
2010,Female,10,0.000101757
2010,Female,15,0.000210823
2010,Female,20,0.000333169
2010,Female,25,0.00038684
2010,Female,30,0.000512258
2010,Female,35,0.000765136
2010,Female,40,0.001250784
2010,Female,45,0.002084352
2010,Female,50,0.003120024
2010,Female,55,0.004587301
2010,Female,60,0.007039636
2010,Female,65,0.011257788
2010,Female,70,0.017586036
2010,Female,75,0.028979979
2010,Female,0,0.004831285
2010,Female,80,0.048551811
2010,Female,85,0.087757646
2010,Female,90,0.158924841
2010,Female,2,0.000155697
2010,Female,95,0.26880852
2011,Female,5,8.87244E-05
2011,Female,10,9.94597E-05
2011,Female,15,0.000203103
2011,Female,20,0.000329924
2011,Female,25,0.000386947
2011,Female,30,0.000516515
2011,Female,35,0.000757732
2011,Female,40,0.001219392
2011,Female,45,0.002045587
2011,Female,50,0.003102326
2011,Female,55,0.004610684
2011,Female,60,0.00691723
