age,sex,1951,1953,1955,1957,1959,1961,1963,1965,1967,1969,1971,1973,1975,1977,1979,1981,1983,1985,1987,1989,1991,1993,1995,1997,1999,2001,2003,2005,2007,2009,2011,2013,2015,2017,2019,2021,2023
26,Male,66270,67002,67740,68493,69316,70149,71078,72127,73263,74467,75756,77227,78826,80593,82183,83568,83444,86426,87426,87989,87869,86913,85183,83026,81031,79332,78585,78816,80143,82346,84607,86489,87813,88774,89656,90317,91215
27,Male,65697,66433,67175,67931,68762,69602,70540,71606,72765,73988,75294,76787,78411,80205,81822,83221,83098,86112,87109,87649,87482,86455,84635,82361,80243,78426,77562,77748,79103,81411,83745,85736,87170,88221,89182,89839,90869
28,Male,65118,65857,66603,67362,68202,69047,69994,71077,72260,73502,74826,76340,77989,79810,81456,82869,82746,85790,86784,87298,87077,85974,84055,81651,79400,77453,76456,76588,77969,80392,82799,84910,86469,87622,88673,89316,90505
29,Male,64532,65273,66023,66784,67632,68483,69439,70539,71745,73007,74348,75885,77558,79408,81081,82510,82385,85461,86450,86934,86655,85468,83442,80900,78505,76418,75275,75346,76749,79294,81775,84015,85712,86978,88130,88754,90121
30,Male,63938,64682,65436,66198,67054,67910,68874,69991,71222,72504,73862,75420,77119,78997,80699,82142,82015,85123,86106,86557,86215,84938,82798,80108,77561,75325,74023,74027,75449,78121,80675,83053,84900,86290,87551,88152,89718
31,Male,63329,64075,64831,65595,66458,67320,68291,69427,70683,71984,73359,74940,76666,78573,80304,81761,81631,84772,85748,86162,85751,84376,82115,79266,76555,74160,72686,72615,74053,76859,79486,82011,84022,85549,86931,87506,89290
32,Male,62715,63463,64221,64986,65857,66723,67702,68855,70136,71456,72849,74453,76204,78140,79901,81372,81238,84412,85380,85754,85270,83792,81403,78388,75506,72946,71291,71140,72589,75532,78228,80908,83094,84766,86277,86822,88843
33,Male,62079,62829,63589,64355,65233,66103,67090,68261,69567,70907,72318,73945,75723,77688,79480,80965,80827,84034,84993,85325,84763,83175,80650,77462,74402,71670,69826,69589,71046,74130,76894,79733,82105,83932,85582,86089,88369
34,Male,61431,62181,62944,63709,64594,65469,66462,67650,68983,70343,71770,73421,75226,77222,79044,80543,80400,83642,84590,84876,84230,82526,79859,76489,73243,70334,68292,67966,69427,72651,75480,78486,81053,83046,84844,85303,87869
35,Male,60768,61520,62283,63049,63941,64818,65818,67024,68382,69762,71206,72881,74713,76739,78593,80106,79956,83233,84169,84405,83669,81841,79025,75464,72025,68932,66685,66262,67722,71089,73979,77155,79931,82100,84058,84458,87338
36,Male,60086,60838,61603,62367,63265,64146,65152,66376,67760,69159,70621,72320,74179,76236,78122,79649,79491,82804,83727,83908,83076,81118,78145,74387,70750,67469,65011,64489,65943,69450,72396,75748,78740,81096,83222,83550,86774
37,Male,59390,60141,60906,61669,62574,63457,64468,65710,67119,68538,70016,71740,73626,75714,77633,79173,79007,82356,83264,83388,82456,80361,77227,73267,69428,65960,63289,62666,64112,67755,70752,74279,77493,80041,82343,82581,86179
38,Male,58681,59432,60197,60958,61868,62753,63769,65027,66463,67900,69394,71142,73056,75174,77125,78679,78502,81889,82780,82842,81804,79568,76268,72102,68061,64404,61522,60796,62227,66000,69041,72742,76184,78931,81416,81549,85551
39,Male,57955,58705,59469,60228,61143,62030,63050,64325,65785,67241,68751,70522,72463,74611,76595,78161,77973,81397,82271,82268,81121,78740,75272,70901,66662,62823,59736,58910,60325,64217,67296,71165,74831,77778,80448,80454,84889
40,Male,57219,57968,58730,59486,60406,61293,62317,63608,65092,66566,68090,69885,71852,74030,76045,77624,77423,80884,81739,81668,80408,77879,74243,69670,65236,61222,57938,57016,58411,62410,65521,69551,73438,76584,79441,79296,84194
41,Male,56460,57207,57968,58720,59644,60532,61558,62864,64372,65863,67401,69219,71212,73419,75467,77058,76843,80342,81176,81033,79656,76976,73172,68398,63775,59594,56123,55109,56483,60577,63713,67896,71999,75344,78389,78070,83460
42,Male,55701,56446,57205,57953,58881,59767,60795,62115,63646,65152,66704,68543,70561,72796,74874,76476,76246,79781,80594,80377,78881,76051,72082,67114,62311,57973,54329,53228,54578,58752,61906,66230,70540,74079,77308,76790,82698
43,Male,54918,55660,56416,57160,58091,58976,60005,61338,62890,64412,65975,67835,69877,72139,74249,75861,75614,79186,79976,79683,78068,75088,70957,65804,60834,56352,52552,51372,52698,56938,60105,64557,69060,72784,76192,75452,81896
44,Male,54131,54868,55622,56360,57293,58177,59205,60551,62122,63658,65232,67112,69177,71464,73603,75225,74959,78568,79333,78960,77223,74094,69805,64475,59347,54733,50789,49536,50836,55127,58299,62867,67554,71458,75041,74061,81059
45,Male,53328,54062,54811,55544,56478,57359,58387,59743,61333,62882,64465,66364,68450,70762,72929,74559,74273,77918,78657,78202,76342,73064,68622,63122,57847,53114,49040,47720,48994,53322,56493,61164,66023,70099,73852,72617,80182
46,Male,52505,53234,53979,54705,55641,56518,57544,58910,60517,62078,63670,65586,67692,70027,72221,73859,73550,77230,77942,77403,75417,71992,67401,61740,56330,51491,47303,45923,47169,51520,54685,59447,64464,68704,72621,71116,79258
47,Male,51674,52397,53137,53857,54792,55665,56688,58062,59686,61256,62855,64787,66912,69267,71488,73132,72798,76513,77195,76568,74456,70885,66152,60341,54808,49874,45586,44153,45370,49730,52881,57720,62882,67279,71353,69569,78292
48,Male,50822,51540,52274,52987,53921,54789,55807,57189,58827,60406,62010,63957,66099,68474,70718,72367,72007,75755,76406,75690,73452,69738,64869,58919,53276,48262,43890,42410,43599,47954,51087,55988,61282,65824,70047,67976,77279
49,Male,49941,50653,51380,52085,53018,53881,54893,56281,57932,59519,61127,63087,65246,67637,69905,71558,71171,74951,75570,74762,72398,68546,63548,57470,51732,46651,42211,40692,41853,46191,49302,54253,59661,64337,68700,66339,76215
50,Male,49036,49741,50462,51158,52088,52945,53951,55344,57006,58599,60210,62181,64354,66761,69050,70706,70289,74100,74686,73785,71296,67310,62193,56001,50182,45050,40558,39008,40141,44450,47534,52521,58028,62825,67315,64662,75101
51,Male,48092,48789,49502,50189,51116,51966,52964,54361,56032,57630,59242,61223,63409,65830,68140,69798,69351,73191,73742,72745,70133,66018,60790,54497,48610,43441,38914,37340,38446,42714,45768,50777,56367,61272,65880,62940,73924
52,Male,47138,47827,48532,49209,50133,50974,51964,53362,55041,56642,58253,60242,62439,64871,67198,68856,68378,72244,72760,71668,68935,64699,59370,52991,47053,41861,37314,35723,36802,41018,44038,49056,54711,59711,64424,61197,72707
53,Male,46145,46825,47521,48188,49107,49940,50920,52318,54002,55605,57214,59209,61414,63854,66198,67855,67344,71235,71714,70528,67680,63332,57916,51468,45495,40297,35747,34147,35202,39356,42339,47354,53055,58133,62935,59426,71434
54,Male,45136,45807,46493,47149,48063,48886,49856,51252,52939,54540,56145,58143,60355,62800,65156,66811,66265,70178,70621,69341,66382,61932,56442,49940,43950,38759,34221,32620,33650,37732,40676,45673,51403,56545,61421,57638,70115
55,Male,44104,44765,45442,46086,46994,47807,48764,50156,51843,53442,55040,57040,59254,61702,64068,65718,65137,69069,69473,68101,65037,60495,54943,48405,42413,37243,32731,31134,32140,36142,39044,44011,49754,54944,59880,55835,68746
56,Male,43053,43704,44370,45002,45902,46704,47647,49035,50720,52314,53904,55901,58117,60564,62936,64579,63962,67909,68274,66809,63644,59018,53416,46857,40875,35739,31265,29676,30658,34572,37427,42354,48095,53320,58305,54013,67323
57,Male,41979,42619,43274,43894,44785,45575,46503,47883,49564,51150,52730,54723,56936,59378,61754,63388,62733,66692,67018,65462,62204,57506,51870,45306,39352,34262,29839,28265,29224,33043,35849,40724,46446,51692,56708,52181,65851
58,Male,40883,41512,42154,42760,43642,44419,45332,46702,48376,49953,51519,53505,55713,58147,60523,62145,61451,65418,65703,64058,60714,55954,50296,43743,37830,32798,28437,26883,27819,31536,34289,39102,44791,50043,55078,50329,64323
59,Male,39744,40361,40990,41583,42454,43217,44112,45471,47135,48700,50252,52228,54428,56850,59222,60831,60098,64069,64314,62582,59158,54349,48683,42158,36301,31340,27054,25524,26436,30045,32744,37484,43125,48370,53409,48447,62731
60,Male,38566,39169,39785,40363,41223,41971,42848,44193,45844,47396,48930,50894,53083,55490,57855,59449,58677,62647,62851,61035,57539,52692,47030,40547,34760,29881,25680,24179,25069,28564,31204,35862,41442,46665,51696,46531,61072
61,Male,37321,37910,38511,39074,39921,40653,41510,42840,44476,46011,47526,49474,51649,54037,56393,57970,57160,61125,61288,59390,55828,50951,45307,38882,33180,28396,24293,22826,23692,27066,29644,34209,39713,44902,49911,44558,59319
62,Male,36051,36626,37211,37759,38592,39307,40142,41455,43073,44590,46082,48012,50170,52536,54878,56436,55587,59542,59664,57687,54067,49174,43560,37208,31603,26924,22927,21499,22339,25588,28101,32564,37979,43121,48095,42564,57513
63,Male,34715,35275,35844,36375,37193,37889,38702,39995,41591,43087,44554,46462,48599,50938,53263,54799,53915,57853,57935,55886,52220,47325,41759,35499,30008,25448,21571,20186,21002,24120,26564,30915,36225,41304,46227,40535,55622
64,Male,33334,33878,34430,34944,35745,36423,37212,38481,40053,41524,42965,44846,46959,49266,51570,53082,52164,56080,56123,54008,50309,45428,39925,33775,28413,23984,20235,18898,19689,22673,25047,29276,34468,39468,44325,38488,53666
65,Male,31910,32436,32971,33467,34250,34908,35671,36915,38459,39903,41313,43166,45249,47521,49798,51284,50334,54221,54227,52054,48334,43484,38061,32038,26818,22531,18921,17636,18402,21247,23548,27647,32706,37614,42389,36427,51645
66,Male,30442,30950,31467,31944,32708,33345,34081,35297,36808,38222,39599,41418,43467,45699,47944,49402,48423,52272,52244,50021,46296,41494,36169,30291,25230,21096,17634,16404,17144,19849,22073,26034,30947,35747,40423,34359,49560
67,Male,28933,29425,29925,30386,31129,31747,32458,33644,35120,36501,37844,39625,41637,43823,46032,47459,46452,50260,50203,47950,44241,39511,34304,28590,23700,19726,16416,15243,15958,18525,20671,24489,29247,33927,38493,32341,47483
68,Male,27375,27852,28336,28782,29506,30104,30790,31944,33381,34728,36033,37772,39741,41876,44043,45436,44406,48166,48088,45824,42158,37525,32460,26931,22225,18419,15268,14154,14844,17274,19341,23012,27606,32153,36595,30371,45402
69,Male,25766,26230,26699,27131,27835,28415,29077,30196,31591,32900,34164,35856,37778,39857,41976,43332,42282,45987,45894,43642,40044,35534,30633,25309,20800,17170,14180,13127,13792,16089,18076,21596,26017,30419,34725,28448,43317
70,Male,24122,24572,25028,25447,26130,26693,27331,28414,29763,31031,32252,33893,35762,37778,39844,41161,40093,43736,43637,41415,37909,33546,28828,23724,19423,15975,13149,12158,12797,14964,16870,20236,24477,28724,32882,26578,41233
71,Male,22407,22845,23287,23695,24357,24902,25517,26561,27860,29084,30260,31844,33654,35603,37609,38885,37806,41379,41282,39113,35725,31532,27019,22155,18073,14815,12158,11230,11844,13882,15705,18913,22967,27048,31048,24747,39129
72,Male,20703,21128,21558,21955,22595,23122,23714,24717,25964,27140,28268,29792,31538,33415,35354,36586,35500,38994,38902,36804,33551,29546,25251,20638,16782,13714,11224,10360,10948,12861,14598,17647,21509,25419,29253,22980,37046
73,Male,18955,19368,19784,20171,20787,21296,21865,22823,24013,25139,26215,27673,29348,31145,33011,34196,33117,36514,36436,34430,31338,27545,23489,19143,15523,12652,10332,9532,10093,11883,13535,16421,20086,23813,27471,21256,34947
74,Male,17215,17614,18018,18393,18984,19475,20020,20931,22060,23132,24154,25541,27140,28851,30638,31772,30712,33995,33936,32039,29127,25563,21759,17690,14312,11639,9488,8751,9285,10956,12520,15243,18706,22244,25721,19590,32860
75,Male,15492,15877,16266,16630,17194,17666,18186,19048,20112,21127,22092,23402,24920,26540,28240,29320,28292,31443,31408,29637,26922,23602,20062,16280,13147,10674,8690,8014,8522,10077,11552,14110,17369,20713,24001,17983,30786
76,Male,13802,14171,14545,14896,15431,15882,16378,17187,18184,19139,20044,21274,22704,24228,25835,26859,25874,28876,28869,27237,24732,21669,18402,14913,12027,9753,7933,7319,7799,9241,10627,13020,16073,19218,22314,16435,28730
77,Male,12177,12528,12885,13222,13725,14154,14623,15378,16305,17196,18040,19185,20524,21947,23454,24420,23486,26325,26346,24862,22578,19779,16791,13597,10957,8880,7221,6666,7118,8451,9747,11975,14821,17764,20664,14950,26700
78,Male,10629,10961,11299,11620,12090,12495,12937,13635,14490,15316,16096,17154,18397,19716,21120,22023,21149,23811,23862,22533,20473,17941,15233,12334,9938,8053,6550,6052,6476,7703,8908,10972,13613,16352,19055,13531,24704
79,Male,9160,9471,9788,10091,10526,10905,11317,11957,12737,13496,14211,15179,16323,17532,18828,19667,18856,21332,21411,20241,18410,16148,13721,11115,8961,7265,5913,5470,5865,6990,8103,10004,12438,14971,17476,12170,22729
80,Male,7803,8091,8384,8668,9066,9417,9798,10380,11086,11776,12425,13302,14345,15445,16629,17401,16654,18940,19045,18032,16426,14428,12276,9956,8036,6523,5316,4925,5291,6317,7339,9078,11308,13636,15944,10878,20800
81,Male,6549,6812,7081,7342,7702,8024,8372,8894,9525,10145,10728,11514,12453,13443,14514,15216,14533,16625,16752,15895,14509,12770,10887,8847,7155,5818,4751,4410,4746,5676,6605,8185,10213,12336,14447,9648,18906
82,Male,5443,5679,5921,6159,6480,6770,7085,7547,8105,8657,9174,9871,10709,11590,12549,13182,12557,14457,14600,13882,12698,11200,9567,7791,6313,5142,4208,3913,4219,5055,5894,7316,9145,11065,12980,8474,17040
83,Male,4444,4652,4867,5078,5360,5618,5896,6301,6786,7269,7723,8332,9069,9842,10688,11251,10689,12392,12543,11954,10960,9689,8295,6769,5497,4486,3679,3429,3704,4447,5195,6461,8091,9808,11527,7345,15186
84,Male,3573,3754,3940,4125,4368,4593,4836,5184,5601,6018,6409,6934,7573,8243,8980,9474,8972,10481,10635,10160,9338,8274,7100,5808,4727,3866,3178,2968,3213,3866,4525,5640,7076,8596,10121,6277,13383
85,Male,2821,2974,3133,3291,3497,3690,3898,4192,4544,4898,5230,5675,6222,6792,7424,7852,7411,8728,8880,8505,7837,6962,5989,4911,4006,3284,2706,2533,2749,3315,3888,4857,6107,7434,8772,5271,11644
86,Male,2193,2320,2453,2587,2758,2920,3096,3340,3633,3928,4206,4578,5038,5517,6050,6416,6031,7166,7310,7021,6486,5777,4983,4096,3350,2752,2274,2134,2321,2805,3298,4129,5203,6348,7507,4345,10005
87,Male,1676,1780,1889,1998,2139,2272,2417,2617,2855,3098,3326,3631,4012,4407,4850,5156,4825,5788,5921,5702,5283,4718,4080,3362,2757,2270,1881,1769,1929,2338,2755,3457,4367,5340,6328,3506,8470
88,Male,1259,1342,1429,1518,1630,1738,1855,2016,2207,2403,2587,2833,3142,3463,3824,4077,3796,4600,4720,4558,4234,3792,3288,2717,2234,1844,1532,1445,1579,1918,2266,2851,3610,4424,5256,2768,7065
89,Male,928,993,1061,1131,1219,1305,1398,1524,1675,1829,1976,2170,2417,2672,2962,3167,2931,3592,3696,3580,3335,2995,2605,2158,1779,1472,1227,1160,1272,1548,1834,2313,2936,3607,4295,2134,5800
90,Male,672,722,774,829,896,963,1035,1132,1249,1369,1483,1633,1827,2027,2254,2417,2223,2756,2845,2763,2582,2325,2028,1685,1393,1156,966,916,1006,1229,1459,1845,2347,2891,3451,1603,4682
91,Male,475,513,552,593,644,694,749,823,910,1001,1088,1203,1351,1504,1678,1806,1648,2070,2143,2088,1957,1768,1546,1289,1069,889,745,708,781,956,1138,1443,1840,2273,2720,1170,3708
92,Male,332,359,388,418,456,493,534,589,654,722,787,872,984,1098,1230,1327,1201,1530,1589,1552,1459,1322,1159,969,806,672,565,538,595,730,872,1108,1417,1755,2105,830,2884
93,Male,226,245,266,288,315,342,372,411,459,508,555,617,700,783,880,953,854,1104,1150,1127,1062,965,849,712,593,496,418,400,443,545,653,832,1067,1324,1593,569,2192
94,Male,151,164,179,194,213,232,254,281,315,350,383,428,487,547,616,669,593,780,814,800,757,690,608,511,428,358,303,291,323,398,478,611,785,978,1179,377,1630
95,Male,98,107,117,128,141,154,169,188,211,235,259,289,331,373,422,459,401,538,563,555,527,481,426,359,301,253,214,206,230,284,342,438,565,705,852,241,1184
96,Male,62,68,75,82,91,99,109,122,138,154,170,190,219,247,281,307,264,361,380,375,357,327,291,246,207,174,148,143,160,198,239,307,397,497,602,149,841
97,Male,38,42,47,51,57,63,69,77,88,98,109,122,141,160,183,200,169,237,250,248,237,218,194,164,139,117,100,97,108,135,163,210,272,342,416,89,584
98,Male,23,26,28,31,35,39,43,48,55,61,68,77,89,101,116,128,106,152,161,160,153,141,126,107,91,77,66,64,72,90,109,141,183,230,280,50,396
99,Male,14,15,17,19,21,23,26,29,33,38,42,47,55,63,72,80,65,95,101,101,97,90,80,68,58,49,42,41,47,58,71,92,120,151,185,28,262
100,Male,8,9,10,11,12,14,15,17,20,22,25,28,33,38,44,48,39,58,62,62,60,55,50,42,36,31,27,26,29,37,45,58,76,96,118,14,169
0,Female,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,Female,86642,86894,87153,87426,87713,88022,88359,88725,89121,89554,90044,90604,91217,91767,92401,93026,93103,94251,94756,95097,95178,94917,94337,93614,92969,92511,92396,92566,93070,93818,94631,95245,95612,95859,96122,96362,96600
2,Female,82439,82858,83284,83722,84172,84655,85178,85734,86323,86959,87668,88459,89314,90057,90911,91722,91672,93287,93919,94337,94441,94120,93400,92487,91663,91049,90913,91133,91795,92753,93759,94531,94956,95252,95538,95798,96073
3,Female,79958,80473,80995,81527,82073,82656,83288,83955,84659,85415,86252,87179,88177,89034,90019,90939,90858,92707,93414,93877,93992,93632,92823,91791,90855,90137,89989,90238,91000,92090,93216,94090,94551,94878,95179,95452,95752
4,Female,78339,78915,79497,80090,80695,81344,82043,82781,83559,84391,85311,86325,87416,88349,89418,90409,90311,92312,93069,93563,93687,93305,92441,91335,90326,89541,89388,89657,90480,91655,92864,93797,94282,94628,94939,95219,95534
5,Female,77273,77886,78506,79136,79779,80468,81211,81994,82817,83698,84671,85741,86892,87876,88999,90037,89919,92031,92822,93336,93468,93072,92174,91022,89964,89134,88977,89261,90121,91352,92620,93589,94092,94451,94767,95051,95376
6,Female,76506,77145,77790,78447,79115,79833,80606,81419,82275,83190,84200,85309,86503,87525,88686,89757,89621,91818,92634,93164,93302,92897,91975,90791,89697,88835,88676,88971,89856,91126,92441,93432,93948,94317,94637,94923,95256
7,Female,75900,76559,77224,77900,78588,79328,80123,80960,81841,82783,83822,84961,86188,87241,88431,89529,89377,91643,92479,93021,93163,92750,91809,90599,89476,88587,88426,88729,89633,90933,92289,93298,93825,94204,94528,94817,95156
8,Female,75409,76082,76762,77453,78156,78913,79726,80583,81483,82446,83508,84672,85926,87004,88218,89338,89170,91496,92348,92899,93043,92622,91662,90429,89280,88366,88201,88511,89431,90758,92149,93175,93714,94102,94431,94723,95069
9,Female,74992,75677,76369,77072,77788,78559,79387,80259,81176,82157,83239,84423,85700,86799,88034,89172,88989,91367,92232,92791,92937,92507,91530,90275,89102,88166,87997,88311,89246,90595,92020,93060,93612,94009,94343,94640,94991
10,Female,74624,75319,76021,76735,77462,78244,79084,79970,80902,81899,82997,84199,85495,86614,87867,89021,88825,91249,92126,92691,92838,92399,91406,90130,88934,87976,87802,88121,89068,90437,91895,92949,93513,93921,94260,94561,94920
11,Female,74283,74987,75698,76422,77158,77951,78802,79701,80646,81658,82771,83989,85304,86440,87710,88880,88670,91138,92026,92597,92743,92296,91286,89990,88772,87793,87613,87935,88894,90282,91771,92839,93417,93835,94180,94486,94851
12,Female,73958,74670,75389,76122,76867,77670,78531,79442,80400,81425,82553,83786,85118,86272,87558,88742,88521,91030,91927,92504,92650,92193,91167,89852,88611,87612,87426,87751,88722,90127,91648,92729,93320,93749,94100,94412,94783
13,Female,73638,74358,75085,75826,76580,77392,78263,79185,80156,81194,82337,83584,84932,86103,87405,88603,88374,90919,91827,92409,92553,92087,91043,89706,88443,87423,87229,87556,88539,89962,91516,92612,93218,93658,94016,94334,94713
14,Female,73322,74048,74783,75531,76293,77113,77993,78926,79910,80961,82117,83378,84742,85930,87248,88460,88224,90804,91722,92308,92450,91971,90907,89547,88258,87215,87011,87338,88334,89775,91365,92478,93102,93556,93923,94249,94637
15,Female,72998,73731,74472,75227,75997,76825,77714,78658,79654,80718,81887,83162,84542,85748,87082,88308,88070,90681,91608,92198,92335,91841,90754,89366,88049,86980,86762,87089,88098,89557,91188,92321,92967,93439,93817,94154,94553
16,Female,72666,73405,74152,74914,75690,76526,77423,78378,79386,80463,81646,82933,84329,85553,86903,88144,87906,90545,91483,92075,92206,91692,90577,89157,87805,86706,86470,86793,87817,89294,90973,92130,92804,93301,93693,94044,94457
17,Female,72317,73061,73813,74582,75365,76208,77113,78079,79100,80190,81386,82686,84098,85342,86710,87966,87732,90396,91344,91938,92061,91525,90377,88920,87531,86398,86140,86457,87496,88992,90724,91910,92618,93142,93552,93920,94348
18,Female,71952,72701,73458,74233,75024,75874,76786,77763,78798,79902,81112,82425,83853,85117,86503,87775,87545,90236,91194,91789,91900,91336,90149,88647,87214,86042,85755,86062,87121,88636,90427,91650,92399,92957,93391,93779,94227
