age,sex,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
27,Male,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.017,0.016,0.016,0.016,0.016,0.015,0.015,0.015,0.017,0.018,0.021,0.024,0.028,0.033,0.038,0.044,0.045,0.052,0.061,0.07,0.078,0.086,0.096,0.109,0.117,0.124,0.128,0.128,0.125,0.119,0.115,0.111,0.11,0.104,0.098,0.091,0.082,0.077,0.071,0.066,0.059,0.049,0.062,0.048,0.044
28,Male,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.017,0.018,0.018,0.017,0.017,0.016,0.016,0.016,0.015,0.015,0.015,0.016,0.018,0.021,0.024,0.028,0.033,0.039,0.044,0.045,0.052,0.062,0.071,0.08,0.088,0.098,0.111,0.119,0.127,0.131,0.133,0.13,0.124,0.12,0.116,0.115,0.109,0.103,0.096,0.088,0.081,0.074,0.07,0.063,0.052,0.065,0.05,0.045
29,Male,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.016,0.017,0.015,0.015,0.015,0.016,0.017,0.02,0.024,0.028,0.033,0.039,0.045,0.045,0.053,0.062,0.072,0.081,0.09,0.1,0.113,0.121,0.129,0.134,0.136,0.134,0.127,0.124,0.119,0.12,0.114,0.108,0.101,0.093,0.087,0.077,0.073,0.067,0.056,0.069,0.051,0.047
30,Male,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.016,0.017,0.018,0.017,0.017,0.017,0.016,0.015,0.016,0.016,0.018,0.02,0.023,0.028,0.033,0.039,0.046,0.046,0.054,0.063,0.073,0.084,0.093,0.104,0.117,0.125,0.133,0.137,0.139,0.138,0.132,0.128,0.124,0.125,0.12,0.114,0.106,0.098,0.092,0.084,0.076,0.07,0.06,0.074,0.054,0.048
31,Male,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.017,0.016,0.016,0.017,0.018,0.017,0.018,0.016,0.016,0.016,0.016,0.017,0.02,0.023,0.027,0.033,0.039,0.045,0.047,0.054,0.063,0.073,0.084,0.095,0.106,0.12,0.126,0.133,0.137,0.14,0.139,0.133,0.13,0.126,0.128,0.122,0.117,0.109,0.101,0.095,0.087,0.081,0.072,0.062,0.078,0.056,0.05
32,Male,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.016,0.017,0.018,0.019,0.017,0.017,0.016,0.017,0.018,0.021,0.023,0.027,0.033,0.039,0.045,0.047,0.055,0.064,0.075,0.085,0.096,0.109,0.124,0.13,0.136,0.139,0.141,0.14,0.135,0.132,0.128,0.131,0.126,0.119,0.113,0.105,0.099,0.09,0.085,0.077,0.064,0.082,0.059,0.053
33,Male,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.02,0.018,0.017,0.017,0.018,0.019,0.021,0.024,0.028,0.033,0.039,0.045,0.047,0.055,0.065,0.076,0.086,0.096,0.111,0.128,0.135,0.141,0.142,0.143,0.141,0.136,0.133,0.131,0.133,0.129,0.123,0.115,0.108,0.102,0.093,0.087,0.08,0.069,0.086,0.061,0.055
34,Male,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.017,0.016,0.017,0.017,0.017,0.017,0.019,0.019,0.018,0.018,0.018,0.019,0.022,0.024,0.028,0.033,0.039,0.045,0.047,0.055,0.066,0.078,0.088,0.098,0.112,0.13,0.141,0.147,0.148,0.146,0.143,0.137,0.135,0.132,0.136,0.13,0.126,0.119,0.11,0.106,0.097,0.091,0.083,0.073,0.093,0.063,0.057
35,Male,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.019,0.018,0.019,0.019,0.019,0.02,0.023,0.025,0.029,0.034,0.04,0.046,0.047,0.055,0.066,0.079,0.089,0.099,0.112,0.131,0.143,0.153,0.155,0.152,0.146,0.138,0.135,0.133,0.137,0.133,0.127,0.121,0.114,0.108,0.101,0.094,0.086,0.077,0.098,0.067,0.059
36,Male,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.016,0.017,0.017,0.017,0.018,0.019,0.018,0.019,0.02,0.02,0.021,0.024,0.026,0.03,0.035,0.04,0.046,0.047,0.055,0.065,0.078,0.089,0.1,0.113,0.13,0.142,0.154,0.159,0.158,0.15,0.138,0.134,0.132,0.136,0.132,0.128,0.12,0.114,0.11,0.1,0.096,0.088,0.079,0.102,0.07,0.063
37,Male,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.016,0.016,0.017,0.017,0.017,0.018,0.019,0.018,0.018,0.019,0.021,0.023,0.025,0.028,0.031,0.036,0.041,0.047,0.048,0.055,0.065,0.078,0.089,0.1,0.113,0.13,0.141,0.153,0.161,0.164,0.157,0.142,0.135,0.131,0.136,0.132,0.128,0.121,0.113,0.11,0.103,0.096,0.09,0.082,0.106,0.071,0.065
38,Male,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.019,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.018,0.02,0.019,0.019,0.019,0.021,0.024,0.026,0.029,0.033,0.037,0.042,0.048,0.049,0.056,0.065,0.077,0.088,0.098,0.112,0.129,0.138,0.149,0.157,0.164,0.161,0.147,0.136,0.129,0.132,0.129,0.125,0.119,0.113,0.107,0.102,0.097,0.089,0.085,0.109,0.073,0.066
39,Male,0.017,0.017,0.018,0.018,0.018,0.018,0.018,0.019,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.017,0.018,0.02,0.019,0.019,0.02,0.021,0.023,0.027,0.031,0.034,0.039,0.044,0.049,0.049,0.056,0.064,0.076,0.086,0.097,0.11,0.127,0.136,0.145,0.151,0.159,0.161,0.152,0.14,0.129,0.129,0.125,0.122,0.116,0.11,0.107,0.098,0.096,0.09,0.085,0.113,0.074,0.067
40,Male,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.019,0.018,0.018,0.018,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.018,0.018,0.02,0.019,0.019,0.02,0.021,0.023,0.027,0.032,0.036,0.041,0.046,0.051,0.051,0.057,0.065,0.076,0.086,0.096,0.109,0.126,0.135,0.143,0.147,0.153,0.157,0.153,0.147,0.134,0.13,0.122,0.118,0.114,0.108,0.105,0.099,0.093,0.09,0.088,0.114,0.076,0.069
41,Male,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.018,0.02,0.019,0.019,0.02,0.021,0.023,0.026,0.031,0.037,0.042,0.047,0.052,0.052,0.058,0.065,0.075,0.084,0.094,0.106,0.122,0.131,0.139,0.143,0.145,0.147,0.145,0.145,0.139,0.133,0.12,0.114,0.108,0.104,0.101,0.096,0.092,0.086,0.087,0.115,0.074,0.069
42,Male,0.017,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.019,0.018,0.018,0.018,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.018,0.018,0.02,0.019,0.02,0.02,0.022,0.024,0.027,0.031,0.036,0.044,0.049,0.054,0.054,0.06,0.066,0.075,0.084,0.092,0.105,0.12,0.128,0.136,0.139,0.141,0.139,0.136,0.137,0.138,0.139,0.123,0.111,0.104,0.099,0.097,0.093,0.09,0.086,0.085,0.115,0.075,0.069
43,Male,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.019,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.018,0.018,0.02,0.019,0.019,0.02,0.022,0.024,0.028,0.031,0.036,0.042,0.05,0.056,0.056,0.061,0.068,0.076,0.083,0.091,0.103,0.118,0.126,0.134,0.137,0.138,0.135,0.13,0.129,0.13,0.139,0.131,0.115,0.102,0.096,0.092,0.09,0.087,0.084,0.086,0.112,0.074,0.069
