age,sex,1951,1953,1955,1957,1959,1961,1963,1965,1967,1969,1971,1973,1975,1977,1979,1981,1983,1985,1987,1989,1991,1993,1995,1997,1999,2001,2003,2005,2007,2009,2011,2013,2015,2017,2019,2021,2023
41,Male,1.272,1.300,1.338,1.384,1.417,1.415,1.401,1.399,1.419,1.467,1.534,1.635,1.755,1.906,2.118,2.296,2.510,2.741,2.984,3.271,3.809,3.870,3.472,3.461,3.650,3.878,4.024,4.089,4.281,4.777,4.601,4.569,5.080,5.671,6.183,6.961,7.528
42,Male,1.229,1.260,1.286,1.330,1.370,1.382,1.368,1.362,1.381,1.420,1.477,1.557,1.671,1.805,2.003,2.199,2.389,2.611,2.849,3.183,3.538,3.837,3.448,3.392,3.505,3.720,3.856,3.916,3.957,4.387,4.700,4.337,4.642,5.256,5.886,6.538,7.035
43,Male,1.185,1.218,1.243,1.276,1.318,1.344,1.339,1.332,1.341,1.375,1.422,1.489,1.587,1.715,1.885,2.097,2.274,2.482,2.713,3.050,3.293,3.762,3.438,3.346,3.390,3.567,3.716,3.752,3.760,3.971,4.580,4.320,4.329,4.880,5.490,5.998,6.716
44,Male,1.138,1.176,1.204,1.228,1.266,1.300,1.308,1.302,1.305,1.332,1.370,1.426,1.505,1.625,1.779,1.977,2.170,2.358,2.582,2.906,3.197,3.490,3.427,3.318,3.303,3.414,3.591,3.627,3.616,3.707,4.122,4.501,4.073,4.442,5.083,5.702,6.301
45,Male,1.089,1.134,1.164,1.187,1.215,1.251,1.274,1.274,1.275,1.289,1.321,1.367,1.433,1.537,1.684,1.852,2.061,2.237,2.454,2.761,3.057,3.244,3.373,3.302,3.240,3.283,3.451,3.529,3.488,3.539,3.695,4.405,4.071,4.128,4.719,5.312,5.772
46,Male,1.040,1.089,1.124,1.150,1.168,1.203,1.232,1.245,1.246,1.251,1.277,1.314,1.368,1.453,1.588,1.741,1.934,2.128,2.328,2.622,2.906,3.142,3.126,3.286,3.197,3.176,3.289,3.437,3.392,3.403,3.493,3.877,4.333,3.852,4.294,4.913,5.481
47,Male,0.994,1.041,1.084,1.111,1.129,1.153,1.185,1.213,1.220,1.221,1.235,1.266,1.311,1.380,1.494,1.639,1.804,2.015,2.207,2.486,2.756,3.000,2.903,3.226,3.163,3.096,3.143,3.310,3.332,3.270,3.352,3.437,4.259,3.878,3.993,4.556,5.100
48,Male,0.949,0.994,1.040,1.072,1.094,1.109,1.139,1.173,1.192,1.194,1.198,1.224,1.261,1.315,1.405,1.538,1.686,1.884,2.098,2.354,2.612,2.847,2.819,2.982,3.126,3.038,3.017,3.142,3.272,3.164,3.221,3.296,3.663,4.200,3.728,4.143,4.709
49,Male,0.908,0.948,0.993,1.033,1.057,1.071,1.092,1.127,1.160,1.169,1.170,1.183,1.214,1.259,1.327,1.438,1.578,1.750,1.984,2.226,2.470,2.694,2.693,2.762,3.051,2.985,2.922,2.982,3.157,3.125,3.076,3.182,3.208,4.120,3.746,3.845,4.361
50,Male,0.869,0.905,0.947,0.989,1.018,1.037,1.048,1.081,1.120,1.141,1.143,1.147,1.173,1.208,1.257,1.343,1.472,1.628,1.852,2.110,2.333,2.548,2.556,2.673,2.821,2.928,2.848,2.838,2.990,3.086,2.958,3.057,3.127,3.467,4.044,3.582,3.956
51,Male,0.831,0.864,0.902,0.944,0.980,1.001,1.013,1.035,1.075,1.109,1.117,1.119,1.132,1.161,1.197,1.261,1.368,1.517,1.718,1.990,2.202,2.405,2.418,2.546,2.628,2.840,2.778,2.727,2.815,2.992,2.939,2.900,3.036,3.031,3.968,3.595,3.665
52,Male,0.798,0.826,0.859,0.898,0.938,0.963,0.980,0.993,1.030,1.069,1.089,1.092,1.097,1.120,1.143,1.188,1.271,1.408,1.597,1.854,2.083,2.266,2.286,2.410,2.536,2.641,2.702,2.641,2.655,2.836,2.920,2.770,2.919,2.994,3.347,3.878,3.409
53,Male,0.766,0.789,0.819,0.855,0.893,0.926,0.944,0.958,0.985,1.025,1.058,1.066,1.069,1.079,1.094,1.127,1.188,1.304,1.485,1.717,1.959,2.134,2.157,2.275,2.410,2.483,2.603,2.555,2.540,2.646,2.852,2.773,2.750,2.915,2.929,3.797,3.416
54,Male,0.730,0.756,0.783,0.813,0.849,0.885,0.907,0.926,0.943,0.981,1.019,1.039,1.042,1.044,1.053,1.073,1.115,1.208,1.378,1.592,1.821,2.013,2.031,2.145,2.274,2.392,2.441,2.463,2.447,2.492,2.706,2.776,2.608,2.806,2.892,3.201,3.682
55,Male,0.693,0.724,0.746,0.773,0.806,0.841,0.871,0.891,0.909,0.937,0.975,1.008,1.017,1.016,1.012,1.025,1.054,1.125,1.273,1.477,1.683,1.889,1.909,2.018,2.135,2.271,2.318,2.355,2.351,2.404,2.498,2.732,2.633,2.622,2.815,2.802,3.601
56,Male,0.657,0.690,0.713,0.738,0.765,0.798,0.831,0.855,0.877,0.894,0.931,0.968,0.988,0.989,0.978,0.984,1.003,1.054,1.177,1.367,1.557,1.752,1.800,1.896,2.012,2.133,2.229,2.230,2.239,2.319,2.354,2.596,2.657,2.482,2.711,2.763,3.029
57,Male,0.623,0.653,0.683,0.702,0.727,0.757,0.789,0.819,0.842,0.858,0.885,0.922,0.954,0.962,0.951,0.946,0.956,0.995,1.093,1.261,1.440,1.615,1.687,1.778,1.900,1.994,2.115,2.143,2.123,2.214,2.293,2.369,2.636,2.523,2.537,2.685,2.643
58,Male,0.589,0.617,0.648,0.670,0.693,0.716,0.746,0.780,0.805,0.825,0.841,0.877,0.913,0.931,0.924,0.912,0.917,0.943,1.021,1.162,1.329,1.490,1.560,1.672,1.797,1.880,1.975,2.058,2.040,2.082,2.217,2.234,2.508,2.557,2.400,2.580,2.599
59,Male,0.556,0.584,0.611,0.640,0.656,0.679,0.706,0.739,0.770,0.791,0.807,0.832,0.868,0.897,0.897,0.886,0.879,0.898,0.961,1.076,1.221,1.374,1.433,1.564,1.690,1.788,1.837,1.950,1.972,1.970,2.101,2.198,2.259,2.553,2.431,2.408,2.521
60,Male,0.524,0.551,0.575,0.605,0.624,0.644,0.666,0.696,0.731,0.756,0.776,0.792,0.826,0.859,0.868,0.859,0.846,0.858,0.908,1.001,1.122,1.262,1.316,1.442,1.581,1.707,1.731,1.808,1.891,1.893,1.945,2.129,2.131,2.420,2.452,2.269,2.415
61,Male,0.493,0.517,0.543,0.567,0.595,0.607,0.628,0.656,0.690,0.723,0.743,0.759,0.784,0.816,0.834,0.834,0.821,0.822,0.861,0.938,1.034,1.155,1.208,1.319,1.467,1.609,1.658,1.667,1.786,1.817,1.837,1.999,2.117,2.154,2.436,2.285,2.244
62,Male,0.462,0.485,0.510,0.532,0.559,0.576,0.594,0.616,0.649,0.686,0.710,0.730,0.746,0.775,0.798,0.805,0.796,0.789,0.820,0.882,0.958,1.056,1.104,1.206,1.341,1.494,1.600,1.570,1.637,1.746,1.759,1.818,2.054,2.042,2.302,2.293,2.104
63,Male,0.432,0.454,0.476,0.500,0.521,0.545,0.557,0.578,0.608,0.647,0.678,0.698,0.714,0.736,0.755,0.773,0.771,0.763,0.781,0.832,0.894,0.969,1.005,1.102,1.218,1.371,1.512,1.518,1.497,1.636,1.676,1.714,1.911,2.035,2.045,2.264,2.110
64,Male,0.404,0.422,0.443,0.466,0.486,0.510,0.524,0.544,0.568,0.607,0.643,0.666,0.685,0.698,0.716,0.737,0.743,0.738,0.745,0.788,0.836,0.893,0.912,1.003,1.109,1.238,1.392,1.485,1.408,1.476,1.617,1.638,1.706,1.975,1.926,2.125,2.107
65,Male,0.377,0.392,0.412,0.433,0.454,0.472,0.495,0.507,0.531,0.567,0.604,0.634,0.654,0.667,0.677,0.696,0.711,0.713,0.716,0.746,0.784,0.828,0.832,0.908,1.010,1.115,1.261,1.408,1.379,1.333,1.499,1.549,1.609,1.814,1.904,1.876,2.069
66,Male,0.352,0.366,0.383,0.402,0.424,0.441,0.463,0.476,0.496,0.523,0.560,0.594,0.617,0.637,0.644,0.661,0.680,0.685,0.687,0.699,0.732,0.771,0.785,0.817,0.903,0.994,1.102,1.245,1.329,1.237,1.311,1.464,1.495,1.571,1.814,1.746,1.940
67,Male,0.326,0.340,0.354,0.373,0.392,0.411,0.428,0.449,0.461,0.484,0.517,0.551,0.581,0.601,0.614,0.625,0.642,0.657,0.659,0.660,0.684,0.713,0.748,0.744,0.805,0.888,0.970,1.090,1.218,1.198,1.165,1.321,1.378,1.443,1.640,1.702,1.704
68,Male,0.299,0.316,0.328,0.343,0.361,0.380,0.396,0.417,0.430,0.448,0.474,0.508,0.540,0.563,0.582,0.590,0.605,0.623,0.629,0.630,0.637,0.662,0.693,0.700,0.722,0.791,0.863,0.951,1.075,1.152,1.079,1.152,1.298,1.338,1.416,1.615,1.578
69,Male,0.270,0.290,0.302,0.315,0.332,0.349,0.367,0.382,0.402,0.413,0.435,0.465,0.497,0.526,0.545,0.558,0.568,0.584,0.598,0.599,0.597,0.615,0.637,0.663,0.655,0.703,0.768,0.835,0.939,1.053,1.042,1.021,1.168,1.229,1.296,1.454,1.532
70,Male,0.240,0.262,0.277,0.288,0.302,0.318,0.336,0.350,0.369,0.382,0.399,0.423,0.454,0.484,0.506,0.525,0.531,0.546,0.564,0.568,0.566,0.568,0.588,0.611,0.612,0.627,0.682,0.740,0.817,0.927,0.999,0.943,1.016,1.153,1.196,1.249,1.447
71,Male,0.211,0.233,0.251,0.263,0.274,0.289,0.304,0.321,0.335,0.353,0.364,0.383,0.411,0.442,0.468,0.487,0.499,0.508,0.523,0.536,0.534,0.530,0.542,0.558,0.577,0.566,0.603,0.656,0.715,0.807,0.910,0.907,0.896,1.033,1.093,1.137,1.296
72,Male,0.184,0.205,0.224,0.237,0.247,0.260,0.274,0.290,0.303,0.321,0.332,0.348,0.370,0.399,0.427,0.448,0.464,0.470,0.484,0.500,0.501,0.497,0.498,0.511,0.528,0.526,0.536,0.580,0.631,0.699,0.798,0.867,0.824,0.894,1.021,1.043,1.107
73,Male,0.158,0.178,0.197,0.212,0.222,0.232,0.245,0.259,0.274,0.287,0.304,0.313,0.332,0.357,0.385,0.409,0.425,0.436,0.446,0.459,0.468,0.465,0.460,0.468,0.480,0.493,0.480,0.511,0.557,0.609,0.692,0.785,0.788,0.785,0.910,0.948,1.001
74,Male,0.135,0.152,0.169,0.186,0.198,0.207,0.218,0.230,0.244,0.257,0.272,0.283,0.297,0.317,0.343,0.368,0.386,0.401,0.408,0.420,0.432,0.433,0.428,0.426,0.436,0.448,0.445,0.451,0.490,0.535,0.596,0.685,0.749,0.717,0.782,0.879,0.912
75,Male,0.115,0.128,0.144,0.161,0.174,0.182,0.191,0.203,0.215,0.228,0.240,0.255,0.264,0.280,0.303,0.327,0.348,0.363,0.374,0.382,0.392,0.399,0.396,0.390,0.396,0.404,0.414,0.403,0.429,0.470,0.516,0.591,0.675,0.682,0.682,0.777,0.822
76,Male,0.097,0.108,0.121,0.136,0.150,0.159,0.167,0.177,0.188,0.200,0.211,0.225,0.234,0.247,0.265,0.288,0.309,0.325,0.339,0.345,0.355,0.364,0.364,0.359,0.357,0.365,0.374,0.371,0.377,0.411,0.451,0.506,0.585,0.643,0.619,0.663,0.757
77,Male,0.080,0.090,0.101,0.113,0.127,0.137,0.145,0.153,0.163,0.173,0.185,0.195,0.207,0.216,0.230,0.250,0.271,0.288,0.302,0.312,0.318,0.327,0.333,0.330,0.324,0.329,0.335,0.343,0.335,0.358,0.394,0.436,0.501,0.576,0.584,0.573,0.664
78,Male,0.065,0.074,0.083,0.093,0.105,0.117,0.125,0.131,0.139,0.149,0.159,0.168,0.180,0.189,0.200,0.215,0.234,0.252,0.266,0.278,0.283,0.292,0.300,0.300,0.295,0.294,0.300,0.308,0.306,0.313,0.342,0.378,0.426,0.494,0.546,0.515,0.561
79,Male,0.052,0.060,0.067,0.076,0.086,0.097,0.105,0.112,0.118,0.126,0.135,0.144,0.153,0.164,0.171,0.184,0.200,0.217,0.232,0.244,0.252,0.258,0.265,0.271,0.268,0.264,0.268,0.273,0.281,0.276,0.296,0.327,0.363,0.419,0.483,0.481,0.480
80,Male,0.043,0.047,0.055,0.061,0.069,0.079,0.087,0.094,0.099,0.106,0.113,0.122,0.129,0.139,0.147,0.156,0.168,0.184,0.199,0.211,0.221,0.226,0.233,0.240,0.241,0.238,0.237,0.243,0.250,0.249,0.256,0.281,0.311,0.352,0.411,0.445,0.426
81,Male,0.035,0.037,0.043,0.049,0.055,0.062,0.070,0.077,0.082,0.088,0.095,0.101,0.109,0.116,0.125,0.131,0.141,0.154,0.168,0.180,0.190,0.197,0.202,0.209,0.214,0.213,0.210,0.214,0.219,0.226,0.222,0.240,0.266,0.296,0.343,0.389,0.392
82,Male,0.028,0.030,0.033,0.038,0.043,0.049,0.056,0.063,0.067,0.072,0.077,0.083,0.090,0.096,0.103,0.110,0.117,0.127,0.139,0.151,0.161,0.169,0.174,0.180,0.187,0.187,0.186,0.186,0.191,0.197,0.198,0.204,0.225,0.250,0.284,0.324,0.356
83,Male,0.023,0.024,0.026,0.029,0.033,0.038,0.043,0.049,0.054,0.058,0.062,0.067,0.073,0.079,0.084,0.091,0.096,0.103,0.114,0.124,0.134,0.142,0.148,0.153,0.159,0.163,0.163,0.161,0.165,0.170,0.176,0.174,0.188,0.209,0.234,0.265,0.305
84,Male,0.017,0.018,0.020,0.022,0.025,0.029,0.033,0.038,0.042,0.046,0.049,0.053,0.058,0.063,0.067,0.074,0.078,0.084,0.091,0.100,0.110,0.117,0.124,0.127,0.133,0.138,0.140,0.139,0.140,0.144,0.150,0.151,0.156,0.173,0.192,0.213,0.248
85,Male,0.013,0.014,0.015,0.016,0.019,0.022,0.024,0.028,0.032,0.036,0.039,0.042,0.045,0.049,0.053,0.058,0.063,0.066,0.072,0.079,0.087,0.095,0.101,0.106,0.110,0.115,0.118,0.118,0.118,0.121,0.125,0.130,0.129,0.140,0.157,0.169,0.197
86,Male,0.010,0.011,0.011,0.012,0.014,0.016,0.018,0.021,0.024,0.027,0.030,0.032,0.035,0.038,0.042,0.045,0.049,0.052,0.056,0.062,0.069,0.075,0.081,0.086,0.089,0.093,0.097,0.099,0.099,0.100,0.104,0.108,0.109,0.113,0.126,0.135,0.154
87,Male,0.008,0.008,0.008,0.009,0.010,0.012,0.013,0.015,0.018,0.020,0.023,0.025,0.027,0.029,0.032,0.035,0.037,0.041,0.043,0.047,0.053,0.058,0.064,0.068,0.072,0.075,0.078,0.081,0.082,0.082,0.085,0.088,0.092,0.092,0.099,0.105,0.119
88,Male,0.006,0.005,0.006,0.006,0.007,0.008,0.010,0.011,0.013,0.015,0.017,0.018,0.020,0.022,0.024,0.026,0.028,0.031,0.033,0.036,0.040,0.044,0.049,0.053,0.056,0.059,0.062,0.065,0.066,0.067,0.068,0.071,0.074,0.075,0.078,0.081,0.091
