Time,Sex,Age,mx
1951,Male,0,0.012302942414744819
1951,Male,1,0.003586312652263705
1951,Male,2,0.00199203187250996
1951,Male,3,0.0012260496419674183
1951,Male,4,0.0007937977932421348
1951,Male,5,0.0005614447845789833
1951,Male,6,0.0004313191627016754
1951,Male,7,0.00033924754893645894
1951,Male,8,0.0002729592881221766
1951,Male,9,0.0002331977585580148
1951,Male,10,0.00020671549746084463
1951,Male,11,0.00019376089905057158
1951,Male,12,0.00018067726176660667
1951,Male,13,0.00018144387452458216
1951,Male,14,0.00018223490078711458
1951,Male,15,0.00018306378364677138
1951,Male,16,0.000198103863025329
1951,Male,17,0.00019914368216668326
1951,Male,18,0.00021457232160099562
1951,Male,19,0.00023030529846127272
1951,Male,20,0.00024638216772828397
1951,Male,21,0.00026280441511417394
1951,Male,22,0.0002795823921952368
1951,Male,23,0.0002818593818378715
1951,Male,24,0.0002842290287594899
1951,Male,25,0.00027157923324129817
1951,Male,26,0.0002739475846954616
1951,Male,27,0.00027638306693076605
1951,Male,28,0.0002788924869462822
1951,Male,29,0.00028148310319483323
1951,Male,30,0.000284189586030503
1951,Male,31,0.00028697149416491294
1951,Male,32,0.00028991109393119443
1951,Male,33,0.00029296875
1951,Male,34,0.0002961646675551607
1951,Male,35,0.00029952575089441715
1951,Male,36,0.0003030354046364417
1951,Male,37,0.0003066962003748509
1951,Male,38,0.0003105375750465806
1951,Male,39,0.00029705997990476607
1951,Male,40,0.0003187589650958933
1951,Male,41,0.00030515441711018767
1951,Male,42,0.00030950451967629467
1951,Male,43,0.000314003638748049
1951,Male,44,0.00031873107534240153
1951,Male,45,0.0003237262799089758
1951,Male,46,0.0003289314564891404
1951,Male,47,0.000334444870697711
1951,Male,48,0.0003403437471846565
1951,Male,49,0.00034662398434075176
1951,Male,50,0.00035342667955634555
1951,Male,51,0.0003605781977453257
1951,Male,52,0.0003683360958540522
1951,Male,53,0.00037656857424492465
1951,Male,54,0.00038537829413431567
1951,Male,55,0.00039478420398732044
1951,Male,56,0.00040488240547782077
1951,Male,57,0.00041573432131372044
1951,Male,58,0.00042764605999622663
1951,Male,59,0.0004407056475132536
1951,Male,60,0.00045540390307933403
1951,Male,61,0.000471443031656013
1951,Male,62,0.0004895819833830115
1951,Male,63,0.0005398434454008338
1951,Male,64,0.0005639274413358815
1951,Male,65,0.0005911135923286592
1951,Male,66,0.0006219335222168475
1951,Male,67,0.0006573181419807187
1951,Male,68,0.0006983511154219204
1951,Male,69,0.0007459284737474618
1951,Male,70,0.0008029978586723769
1951,Male,71,0.0008208000386258842
1951,Male,72,0.0008437483520539998
1951,Male,73,0.0008709536942952533
1951,Male,74,0.0009032840828440545
1951,Male,75,0.000941449107433827
1951,Male,76,0.0009849790691947797
1951,Male,77,0.001034369269829329
1951,Male,78,0.0010911074740861974
1951,Male,79,0.0010247214038683233
1951,Male,80,0.001220814893941706
1951,Male,81,0.0011017260374586854
1951,Male,82,0.0013492241960872497
1951,Male,83,0.0013984058173682002
1951,Male,84,0.0014169323414806943
1951,Male,85,0.001367053998632946
1951,Male,86,0.0017883755588673621
1951,Male,87,0.0015873015873015873
1951,Male,88,0.002152852529601722
1951,Male,89,0.001486988847583643
1951,Male,90,0.002103049421661409
1951,Male,91,0.0030075187969924814
1951,Male,92,0.004415011037527594
1951,Male,93,0.0
1951,Male,94,0.0
1951,Male,95,0.0
1951,Male,96,0.0
1951,Male,97,0.0
1951,Male,98,0.0
1951,Male,99,0.0
1951,Female,0,0.010436699522942943
1951,Female,1,0.0033544246314068603
1951,Female,2,0.0019116755899018548
1951,Female,3,0.0012119433831080607
1951,Female,4,0.0007761665135893821
1951,Female,5,0.0005488259045826963
1951,Female,6,0.0004215185204699931
1951,Female,7,0.00033147046929589045
1951,Female,8,0.0002666595557451801
1951,Female,9,0.00022778280239841892
1951,Female,10,0.00021536929103121508
1951,Female,11,0.00020279725006928906
1951,Female,12,0.00019010116097494738
1951,Female,13,0.0001909203725674699
1951,Female,14,0.00019176768714471612
1951,Female,15,0.00019264376040620314
1951,Female,16,0.00019357336430507162
1951,Female,17,0.0002084505867884018
1951,Female,18,0.0002095718447212345
1951,Female,19,0.00021076444263343146
1951,Female,20,0.00022616759018432659
1951,Female,21,0.00022762191999089513
1951,Female,22,0.0002434884736853413
1951,Female,23,0.0002452200128379889
1951,Female,24,0.00024703736803481776
1951,Female,25,0.0002489511103951733
1951,Female,26,0.00026569442189322036
1951,Female,27,0.0002529931319805642
1951,Female,28,0.00027014452732211734
1951,Female,29,0.0002573242815733109
1951,Female,30,0.00025961531119476493
1951,Female,31,0.00026194750263873587
1951,Female,32,0.0002643795245834079
1951,Female,33,0.00026689483558493143
1951,Female,34,0.00026950545748551406
1951,Female,35,0.0002721981602606698
1951,Female,36,0.00027498968788670426
1951,Female,37,0.00026153192324038054
1951,Female,38,0.00026437104476132253
1951,Female,39,0.00026728587895290755
1951,Female,40,0.0002703479039589071
1951,Female,41,0.00025634671748028267
1951,Female,42,0.0002593966434074343
1951,Female,43,0.0002624924533419664
1951,Female,44,0.0002656865783996812
1951,Female,45,0.00026899798251513114
1951,Female,46,0.0002542588354945334
1951,Female,47,0.0002575754788144169
1951,Female,48,0.00026110634488418067
1951,Female,49,0.0002648355182263587
1951,Female,50,0.0002880986449760398
1951,Female,51,0.00027313875448727954
1951,Female,52,0.00029759247686218495
1951,Female,53,0.00030284981677586087
1951,Female,54,0.0003084864625857335
1951,Female,55,0.00031450826632559994
1951,Female,56,0.000320996372740988
1951,Female,57,0.0003498261801167545
